,City,Elevation,Condo value,Females,Land area,Males,Cost of living,Median Income,Population,Population density
16,Angleton,," $117,720 ",34.5 years,10.6,35.8 years,88.3," $56,429 "," 19,472 (99% urban, 1% rural). "," 1,843 "
17,"Anna, TX",," $186,122 ",34.5 years,1.67,31.8 years,94.6," $79,248 "," 10,571 (91% urban, 9% rural). "," 6,318 "
18,Aransas Pass, 5 feet," $97,096 ",34.5 years,10.7,40.3 years,85.5," $44,406 "," 8,461 (90% urban, 10% rural). ", 788 
19,"Arlington, TX",," $154,900 ",34.5 years,95.8,32.4 years,93.8," $54,272 "," 392,787"," 4,099 "
20,Atascocita,," $182,000 ",34.5 years,27.6,36.0 years,93.8," $94,632 "," 72,763"," 2,638 "
21,"Athens, TX", 492 feet," $101,574 ",34.5 years,14.6,33.8 years,87.5," $41,115 "," 12,819 (90% urban, 10% rural). ", 877 
22,"Austin, TX", 501 feet," $308,500 ",34.5 years,251.5,32.7 years,95.6," $66,697 "," 947,897"," 3,769 "
23,Azle,," $138,236 ",34.5 years,8.2,43.6 years,93.4," $59,037 "," 11,530 (99% urban, 1% rural). "," 1,406 "
24,Bacliff, 16 feet," $90,295 ",34.5 years,2.52,32.4 years,91.9," $37,704 "," 8,619. "," 3,423 "
25,Balch Springs,," $92,402 ",34.5 years,8.06,25.8 years,92.6," $44,423 "," 25,120 (100% urban, 0% rural). "," 3,118 "
26,"Bastrop, TX",," $187,047 ",34.5 years,7.27,41.3 years,92.7," $48,782 "," 7,856 (96% urban, 4% rural). "," 1,081 "
27,"Bay City, TX", 56 feet," $109,779 ",34.5 years,8.5,35.3 years,80.0," $42,685 "," 17,368 (99% urban, 1% rural). "," 2,043 "
28,Baytown, 35 feet," $113,500 ",34.5 years,32.7,30.8 years,91.9," $56,892 "," 76,834"," 2,353 "
29,"Beaumont, TX",," $104,600 ",34.5 years,85.0,33.6 years,82.7," $42,077 "," 118,309"," 1,392 "
30,"Bedford, TX", 598 feet," $193,075 ",34.5 years,10.0,41.3 years,94.5," $63,907 "," 48,908 (100% urban, 0% rural). "," 4,889 "
31,Beeville,," $70,395 ",34.5 years,6.11,32.4 years,79.1," $39,179 "," 13,303 (100% urban, 0% rural). "," 2,178 "
32,"Bellaire, TX", 57 feet," $881,630 ",34.5 years,3.62,43.5 years,99.1," $190,484 "," 18,252 (100% urban, 0% rural). "," 5,040 "
33,Bellmead,," $71,691 ",34.5 years,6.23,32.9 years,83.9," $40,734 "," 10,184 (98% urban, 2% rural). "," 1,634 "
34,"Belton, TX",," $132,045 ",34.5 years,12.5,28.9 years,84.8," $51,375 "," 20,128 (94% urban, 6% rural). "," 1,612 "
35,Ben Wheeler-Edom,," $117,336 ",32.3 years,141.7,41.3 years,83.5," $47,728 "," 6,892.", 49 
36,Benbrook, 692 feet," $167,248 ",34.5 years,11.5,43.0 years,93.6," $67,726 "," 22,419 (100% urban, 0% rural). "," 1,958 "
37,"Big Spring, TX", 2432 feet," $81,712 ",34.5 years,19.1,35.4 years,79.5," $49,059 "," 28,472 (98% urban, 2% rural). "," 1,490 "
38,Boerne, 1405 feet," $255,322 ",34.5 years,5.82,37.9 years,93.7," $63,316 "," 12,835 (92% urban, 8% rural). "," 2,204 "
39,Bonham, 505 feet," $84,089 ",34.5 years,9.36,38.3 years,79.1," $35,006 "," 10,058 (97% urban, 3% rural). "," 1,074 "
40,Borger,," $77,185 ",34.5 years,8.73,35.5 years,77.7," $46,326 "," 12,978 (100% urban, 0% rural). "," 1,486 "
41,Brazosport, 6 feet," $146,530 ",32.3 years,179.6,31.3 years,92.4," $65,138 "," 71,908.", 400 
42,Brenham,," $155,275 ",34.5 years,8.76,35.2 years,83.0," $46,722 "," 16,297 (98% urban, 2% rural). "," 1,860 "
43,Bridge City-Orangefield,," $125,770 ",32.3 years,82.9,36.1 years,85.3," $63,002 "," 15,013.", 181 
44,"Bridge City, TX",," $144,100 ",34.5 years,5.14,34.6 years,82.8," $69,898 "," 7,924 (98% urban, 2% rural). "," 1,541 "
45,"Bridgeport, TX",," $124,266 ",34.5 years,3.71,35.7 years,90.0," $40,051 "," 6,239 (92% urban, 8% rural). "," 1,682 "
46,"Brownfield, TX", 3308 feet," $72,998 ",34.5 years,6.32,35.2 years,78.4," $39,002 "," 9,719 (98% urban, 2% rural). "," 1,538 "
47,"Brownsville, TX",," $86,600 ",34.5 years,80.4,32.0 years,79.7," $36,584 "," 183,829"," 2,286 "
48,Brownwood,," $91,785 ",34.5 years,12.6,35.4 years,78.7," $37,709 "," 18,972 (99% urban, 1% rural). "," 1,506 "
49,Bruni-Mirando,," $80,310 ",32.3 years,1100.6,21.6 years,85.1," $30,233 "," 47,363.", 43 
50,"Brushy Creek, TX",," $286,840 ",34.5 years,8.71,38.3 years,93.4," $111,000 "," 21,764. "," 2,499 "
51,"Bryan, TX",," $137,000 ",34.5 years,43.3,31.1 years,88.3," $38,539 "," 83,265"," 1,921 "
52,"Buda, TX", 706 feet," $228,977 ",34.5 years,2.41,34.0 years,92.9," $76,976 "," 11,461 (100% urban, 0% rural). "," 4,760 "
53,Burkburnett, 1057 feet," $98,315 ",34.5 years,9.51,36.7 years,83.2," $50,236 "," 11,142 (93% urban, 7% rural). "," 1,172 "
54,Burleson,," $164,011 ",34.5 years,19.6,33.1 years,94.3," $73,654 "," 41,818 (97% urban, 3% rural). "," 2,129 "
55,Burnet, 1315 feet," $174,515 ",34.5 years,6.83,39.9 years,83.8," $46,511 "," 6,138 (82% urban, 18% rural). ", 898 
56,"Cameron Park, TX",," $48,260 ",34.5 years,0.6,25.8 years,78.8," $27,888 "," 6,963. "," 11,637 "
57,Camp Swift,," $127,777 ",34.5 years,11.9,37.4 years,79.6," $51,387 "," 6,383. ", 535 
58,Canutillo,," $75,869 ",34.5 years,3.03,27.5 years,81.6," $27,275 "," 6,321. "," 2,087 "
59,"Canyon Lake, TX",," $218,459 ",34.5 years,144.3,49.3 years,82.1," $66,087 "," 21,262. ", 147 
60,Canyon, 3551 feet," $164,900 ",34.5 years,4.95,27.0 years,84.9," $49,778 "," 14,432 (99% urban, 1% rural). "," 2,914 "
61,"Carrollton, TX",," $209,800 ",34.5 years,36.5,36.2 years,94.3," $70,673 "," 133,351"," 3,657 "
62,"Carthage, TX", 309 feet," $119,060 ",34.5 years,10.5,36.8 years,79.3," $52,215 "," 6,822 (93% urban, 7% rural). ", 649 
63,Cedar Creek Lake,," $96,332 ",32.3 years,328.6,42.3 years,86.4," $42,891 "," 36,825.", 112 
64,Cedar Creek-Red Rock,," $183,982 ",32.3 years,256.8,33.5 years,85.3," $60,215 "," 21,132.", 82 
65,"Cedar Hill, TX",," $154,857 ",34.5 years,35.2,34.1 years,93.7," $72,111 "," 48,084 (93% urban, 7% rural). "," 1,368 "
66,Cedar Park, 910 feet," $279,600 ",34.5 years,17.0,33.8 years,93.6," $101,064 "," 70,498"," 4,154 "
67,"Celina, TX",," $305,455 ",34.5 years,1.69,36.3 years,93.2," $98,653 "," 7,086 (90% urban, 10% rural). "," 4,203 "
68,Chance-Loeb,," $147,103 ",32.3 years,50.8,34.6 years,86.2," $60,492 "," 14,876.", 293 
69,Channelview,," $112,020 ",34.5 years,16.2,30.8 years,92.2," $54,511 "," 38,289. "," 2,362 "
70,Childress,," $73,224 ",34.5 years,8.25,32.3 years,79.5," $34,716 "," 6,092 (97% urban, 3% rural). ", 739 
71,Cibolo, 704 feet," $222,919 ",34.5 years,5.33,34.7 years,89.7," $96,885 "," 25,280 (100% urban, 0% rural). "," 4,744 "
72,Cinco Ranch,," $378,804 ",34.5 years,4.93,40.8 years,94.2," $134,738 "," 18,274. "," 3,705 "
73,Cleburne,," $108,847 ",34.5 years,27.8,34.0 years,93.2," $50,244 "," 29,848 (95% urban, 5% rural). "," 1,074 "
74,"Cleveland, TX",," $76,520 ",34.5 years,4.81,33.2 years,91.4," $30,905 "," 7,745 (99% urban, 1% rural). "," 1,610 "
75,Cloverleaf,," $109,961 ",34.5 years,3.57,29.0 years,92.5," $42,785 "," 22,942. "," 6,431 "
76,Clute,," $98,694 ",34.5 years,5.35,33.0 years,88.4," $47,139 "," 11,392 (100% urban, 0% rural). "," 2,130 "
77,"College Station, TX",," $239,900 ",34.5 years,40.3,22.5 years,90.2," $39,068 "," 112,142"," 2,786 "
78,Colleyville,," $492,188 ",34.5 years,13.1,47.9 years,97.4," $165,302 "," 24,952 (100% urban, 0% rural). "," 1,906 "
79,"Colony, TX",," $200,130 ",32.3 years,36.6,31.5 years,98.9," $91,403 "," 44,421."," 1,213 "
80,"Commerce, TX",," $73,829 ",34.5 years,6.48,23.7 years,93.0," $22,569 "," 8,599 (95% urban, 5% rural). "," 1,327 "
81,Conroe,," $167,900 ",34.5 years,37.8,32.4 years,93.1," $53,035 "," 82,296"," 2,178 "
82,"Converse, TX",," $148,971 ",34.5 years,6.33,32.2 years,87.6," $64,275 "," 21,054 (100% urban, 0% rural). "," 3,327 "
83,Coppell,," $353,910 ",34.5 years,14.9,40.1 years,94.8," $121,513 "," 40,678 (100% urban, 0% rural). "," 2,736 "
84,Copperas Cove,," $98,532 ",34.5 years,13.9,32.5 years,84.1," $53,249 "," 32,943 (95% urban, 5% rural). "," 2,366 "
85,"Corinth, TX",," $226,876 ",34.5 years,7.86,37.3 years,93.7," $91,640 "," 20,836 (100% urban, 0% rural). "," 2,652 "
86,"Corpus Christi, TX",," $132,400 ",34.5 years,154.6,35.1 years,87.1," $54,344 "," 325,734"," 2,106 "
87,Corsicana,," $91,332 ",34.5 years,20.7,35.8 years,79.2," $40,297 "," 23,989 (94% urban, 6% rural). "," 1,156 "
88,"Crockett, TX", 366 feet," $87,710 ",34.5 years,8.86,36.7 years,80.0," $26,036 "," 6,564 (89% urban, 11% rural). ", 740 
89,"Crowley, TX",," $137,098 ",34.5 years,6.65,34.0 years,93.7," $67,839 "," 14,572 (100% urban, 0% rural). "," 2,191 "
90,"Crystal City, TX",," $44,817 ",34.5 years,3.64,30.9 years,75.5," $28,873 "," 7,513 (98% urban, 2% rural). "," 2,063 "
91,Cuero, 182 feet," $94,840 ",34.5 years,4.94,38.5 years,79.9," $45,072 "," 7,063 (98% urban, 2% rural). "," 1,431 "
92,Dalhart, 3984 feet," $109,327 ",34.5 years,4.29,33.5 years,79.1," $53,315 "," 8,326 (97% urban, 3% rural). "," 1,940 "
93,"Dallas, TX", 463 feet," $157,100 ",34.5 years,342.5,32.7 years,94.1," $47,243 "," 1,317,942"," 3,848 "
94,"Dayton, TX", 84 feet," $125,733 ",34.5 years,11.0,33.6 years,92.1," $46,670 "," 7,465 (87% urban, 13% rural). ", 676 
95,DeSoto, 650 feet," $164,542 ",34.5 years,21.6,39.5 years,93.0," $63,858 "," 51,934 (100% urban, 0% rural). "," 2,407 "
96,"Decatur, TX",," $139,884 ",34.5 years,6.96,31.4 years,90.9," $44,604 "," 6,339 (98% urban, 2% rural). ", 911 
97,"Deer Park, TX",," $161,565 ",34.5 years,10.4,35.2 years,93.2," $79,826 "," 33,719 (100% urban, 0% rural). "," 3,255 "
98,"Del Rio, TX",," $107,516 ",34.5 years,15.4,32.5 years,79.3," $43,061 "," 36,079 (99% urban, 1% rural). "," 2,337 "
99,"Denison, TX",," $93,103 ",34.5 years,22.6,39.4 years,84.5," $41,375 "," 22,907 (96% urban, 4% rural). "," 1,014 "
100,"Denton, TX", 662 feet," $194,200 ",34.5 years,61.5,28.1 years,94.0," $54,528 "," 133,803"," 2,176 "
101,"Dickinson, TX", 17 feet," $159,735 ",34.5 years,9.65,37.0 years,91.8," $70,331 "," 19,595 (99% urban, 1% rural). "," 2,030 "
102,Donna,," $58,300 ",34.5 years,5.04,30.1 years,81.0," $27,623 "," 16,448 (100% urban, 0% rural). "," 3,263 "
103,"Dumas, TX", 3657 feet," $120,870 ",34.5 years,5.13,31.8 years,80.1," $52,478 "," 14,937 (100% urban, 0% rural). "," 2,913 "
104,"Duncanville, TX",," $131,367 ",34.5 years,11.3,36.7 years,93.1," $54,541 "," 39,707 (100% urban, 0% rural). "," 3,518 "
105,"Eagle Mountain, TX",," $310,185 ",32.3 years,22.3,41.8 years,101.1," $101,404 "," 7,757.", 347 
106,Eagle Pass, 737 feet," $134,338 ",34.5 years,7.4,31.0 years,80.2," $42,956 "," 28,329 (99% urban, 1% rural). "," 3,830 "
107,East Cameron,," $109,667 ",32.3 years,179.6,32.3 years,83.6," $39,653 "," 20,879.", 116 
108,East Grayson,," $122,245 ",32.3 years,389.3,36.6 years,88.1," $50,706 "," 86,658.", 223 
109,"East Jefferson, TX",," $98,640 ",32.3 years,100.3,35.7 years,85.2," $46,041 "," 111,383."," 1,110 "
110,"Edinburg, TX", 96 feet," $107,000 ",34.5 years,37.4,26.5 years,82.0," $41,319 "," 87,642"," 2,345 "
111,Edna-Cordele,," $98,041 ",32.3 years,263.1,36.8 years,82.8," $53,137 "," 7,721.", 29 
112,Eidson Road,," $73,450 ",34.5 years,7.11,28.0 years,77.1," $36,102 "," 8,960. "," 1,261 "
113,El Campo,," $126,076 ",34.5 years,7.47,36.1 years,80.7," $46,952 "," 11,577 (96% urban, 4% rural). "," 1,550 "
114,"El Paso, TX",," $125,300 ",34.5 years,249.1,32.6 years,82.9," $43,200 "," 683,088"," 2,742 "
115,"Elgin, TX",," $138,938 ",34.5 years,4.7,30.5 years,92.4," $43,407 "," 8,622 (98% urban, 2% rural). "," 1,836 "
116,Elm Mott, 516 feet," $148,106 ",32.3 years,45.5,35.9 years,83.3," $60,756 "," 6,408.", 141 
117,Elsa, 66 feet," $49,194 ",34.5 years,1.48,27.5 years,80.3," $22,745 "," 6,617 (100% urban, 0% rural). "," 4,480 "
118,"Ennis, TX",," $112,535 ",34.5 years,18.0,32.0 years,92.6," $47,737 "," 18,823 (95% urban, 5% rural). "," 1,046 "
119,Euless,," $181,357 ",34.5 years,16.3,35.1 years,94.7," $59,733 "," 53,630 (100% urban, 0% rural). "," 3,297 "
120,Everman,," $80,552 ",34.5 years,1.98,36.4 years,93.5," $37,639 "," 6,315 (100% urban, 0% rural). "," 3,183 "
121,Fabens,," $64,285 ",34.5 years,3.69,29.0 years,80.9," $24,665 "," 8,257. "," 2,238 "
122,Fair Oaks Ranch, 1300 feet," $470,493 ",34.5 years,7.15,47.1 years,90.0," $127,167 "," 6,914 (84% urban, 16% rural). ", 967 
123,"Fairview, TX",," $397,260 ",34.5 years,8.81,47.0 years,95.7," $76,275 "," 8,361 (97% urban, 3% rural). ", 949 
124,Farmers Branch,," $169,218 ",34.5 years,12.0,36.0 years,94.6," $64,815 "," 32,560 (100% urban, 0% rural). "," 2,713 "
125,Fate,," $229,833 ",34.5 years,4.73,32.5 years,95.3," $107,011 "," 8,812 (71% urban, 29% rural). "," 1,863 "
126,Floresville,," $138,978 ",34.5 years,4.75,44.9 years,87.6," $55,144 "," 7,149 (92% urban, 8% rural). "," 1,504 "
127,Flower Mound,," $344,300 ",34.5 years,40.9,37.9 years,96.0," $131,470 "," 73,289"," 1,793 "
128,"Forest Hill, TX",," $89,085 ",34.5 years,4.25,32.6 years,94.1," $42,795 "," 12,795 (100% urban, 0% rural). "," 3,013 "
129,"Forney, TX", 471 feet," $185,225 ",34.5 years,7.84,30.7 years,93.8," $75,789 "," 17,536 (96% urban, 4% rural). "," 2,236 "
130,Fort Bliss,," $110,067 ",34.5 years,6.17,22.6 years,87.0," $48,996 "," 8,591. "," 1,393 "
131,Fort Hood,," $88,929 ",34.5 years,14.9,22.7 years,86.0," $42,055 "," 29,589. "," 1,980 "
132,Fort Stockton,," $98,575 ",34.5 years,5.12,35.2 years,79.8," $52,489 "," 8,482 (99% urban, 1% rural). "," 1,655 "
133,"Fort Worth, TX", 612 feet," $151,000 ",34.5 years,292.5,32.4 years,93.9," $56,428 "," 855,897"," 2,926 "
134,"Four Corners, TX",," $187,915 ",34.5 years,2.85,32.5 years,94.6," $69,957 "," 12,382. "," 4,352 "
135,"Fredericksburg, TX", 1702 feet," $278,636 ",34.5 years,6.64,49.6 years,89.1," $50,652 "," 10,886 (99% urban, 1% rural). "," 1,640 "
136,"Freeport, TX",," $78,999 ",34.5 years,11.9,26.8 years,87.8," $37,442 "," 12,191 (97% urban, 3% rural). "," 1,026 "
137,"Fresno, TX", 73 feet," $167,221 ",34.5 years,8.99,28.0 years,93.7," $63,792 "," 19,069. "," 2,122 "
138,Friendswood,," $276,957 ",34.5 years,21.0,40.0 years,93.5," $98,073 "," 38,248 (98% urban, 2% rural). "," 1,819 "
139,"Frisco, TX",," $369,900 ",34.5 years,69.9,37.4 years,94.7," $124,829 "," 163,631"," 2,342 "
140,"Gainesville, TX",," $108,082 ",34.5 years,17.0,34.6 years,80.6," $44,065 "," 16,095 (96% urban, 4% rural). ", 947 
141,Galena Park, 28 feet," $77,121 ",34.5 years,4.99,30.2 years,92.0," $45,101 "," 11,178 (100% urban, 0% rural). "," 2,242 "
142,"Galveston, TX", 10 feet," $176,923 ",34.5 years,46.2,36.6 years,94.7," $43,471 "," 49,608 (82% urban, 18% rural). "," 1,075 "
143,"Garland, TX",," $136,700 ",34.5 years,57.1,34.0 years,93.2," $57,063 "," 234,588"," 4,108 "
144,"Gatesville, TX",," $79,229 ",34.5 years,8.69,36.9 years,83.9," $39,410 "," 15,872 (91% urban, 9% rural). "," 1,826 "
145,"Georgetown, TX",," $251,800 ",34.5 years,22.8,45.8 years,94.4," $67,379 "," 67,137"," 2,941 "
146,Gladewater,," $99,804 ",34.5 years,11.6,45.2 years,83.7," $35,046 "," 6,432 (85% urban, 15% rural). ", 554 
147,Glenn Heights, 670 feet," $152,741 ",34.5 years,7.02,32.8 years,93.7," $61,995 "," 11,915 (100% urban, 0% rural). "," 1,698 "
148,Goldsmith-Penwell,," $93,841 ",32.3 years,660.6,30.3 years,83.6," $53,510 "," 21,573.", 33 
149,"Gonzales, TX",," $110,458 ",34.5 years,5.1,35.1 years,79.8," $38,939 "," 7,461 (94% urban, 6% rural). "," 1,464 "
150,"Graham, TX",," $97,217 ",34.5 years,5.5,39.3 years,79.5," $41,613 "," 8,864 (100% urban, 0% rural). "," 1,612 "
151,Granbury, 722 feet," $189,341 ",34.5 years,5.54,49.7 years,92.0," $51,271 "," 9,052 (94% urban, 6% rural). "," 1,635 "
152,"Grand Prairie, TX",," $149,600 ",34.5 years,71.4,33.3 years,93.0," $62,391 "," 190,626"," 2,670 "
153,Grapevine,," $293,993 ",34.5 years,32.3,38.0 years,95.7," $83,140 "," 50,844 (100% urban, 0% rural). "," 1,575 "
154,Greatwood,," $357,753 ",34.5 years,3.89,40.6 years,96.4," $143,876 "," 11,538. "," 2,964 "
155,"Greenville, TX", 550 feet," $83,843 ",34.5 years,33.9,34.0 years,91.7," $44,103 "," 26,180 (90% urban, 10% rural). ", 772 
156,Groves,," $107,538 ",34.5 years,5.18,38.4 years,82.9," $50,741 "," 15,753 (100% urban, 0% rural). "," 3,041 "
157,Haltom City,," $104,104 ",34.5 years,12.4,32.7 years,93.4," $46,647 "," 43,913 (100% urban, 0% rural). "," 3,543 "
158,Harker Heights, 765 feet," $180,552 ",34.5 years,12.8,33.0 years,84.9," $67,805 "," 28,526 (97% urban, 3% rural). "," 2,236 "
159,Harleton,," $94,084 ",32.3 years,204.6,36.3 years,82.0," $44,597 "," 6,345.", 31 
160,"Harlingen, TX", 45 feet," $89,500 ",34.5 years,34.1,31.1 years,79.8," $37,507 "," 65,533"," 1,923 "
161,Hawley-Noodle,," $108,592 ",32.3 years,313.0,33.1 years,81.9," $59,692 "," 9,023.", 29 
162,"Heath, TX", 502 feet," $478,476 ",34.5 years,6.86,43.5 years,94.0," $161,396 "," 7,999 (93% urban, 7% rural). "," 1,165 "
163,Helotes,," $305,094 ",34.5 years,4.22,44.0 years,88.5," $115,930 "," 8,364 (96% urban, 4% rural). "," 1,980 "
164,"Hempstead, TX",," $111,137 ",34.5 years,4.97,23.6 years,93.3," $31,691 "," 6,699 (95% urban, 5% rural). "," 1,348 "
165,"Henderson, TX",," $134,225 ",34.5 years,11.9,35.6 years,83.4," $42,333 "," 13,604 (93% urban, 7% rural). "," 1,143 "
166,"Hereford, TX",," $97,217 ",34.5 years,5.61,30.3 years,79.2," $47,584 "," 15,216 (100% urban, 0% rural). "," 2,711 "
167,"Hewitt, TX", 655 feet," $150,879 ",34.5 years,6.89,38.3 years,85.6," $74,467 "," 14,166 (99% urban, 1% rural). "," 2,055 "
168,"Hidalgo, TX", 106 feet," $94,620 ",34.5 years,4.35,28.1 years,81.6," $38,525 "," 13,497 (99% urban, 1% rural). "," 3,101 "
169,"Highland Park, TX", 550 feet," over $1,000,000 ",34.5 years,2.24,46.2 years,105.3," over $200,000 "," 8,950 (100% urban, 0% rural). "," 3,996 "
170,Highland Village,," $358,974 ",34.5 years,5.52,43.6 years,96.7," $145,143 "," 15,995 (100% urban, 0% rural). "," 2,899 "
171,"Highlands, TX",," $100,921 ",34.5 years,6.17,35.5 years,92.2," $59,127 "," 7,522. "," 1,218 "
172,"Hillsboro, TX", 631 feet," $81,712 ",34.5 years,9.07,32.0 years,79.2," $35,633 "," 8,350 (98% urban, 2% rural). ", 921 
173,"Hitchcock, TX", 20 feet," $104,274 ",34.5 years,66.5,32.9 years,92.0," $45,914 "," 7,442 (88% urban, 12% rural). ", 112 
174,Homestead Meadows South,," $74,930 ",34.5 years,3.35,38.7 years,80.5," $38,808 "," 7,247. "," 2,164 "
175,"Hondo, TX", 895 feet," $124,492 ",34.5 years,9.59,30.8 years,83.3," $48,204 "," 9,056 (93% urban, 7% rural). ", 945 
176,Horizon City,," $127,527 ",34.5 years,5.73,27.1 years,83.8," $51,401 "," 19,332 (100% urban, 0% rural). "," 3,372 "
177,Hornsby Bend, 444 feet," $304,100
",34.5 years,,30.1 years,95.2," $70,158"," 6,791.",
178,"Houston, TX",," $163,700 ",34.5 years,579.4,33.0 years,94.0," $47,793 "," 2,304,388"," 3,977 "
179,Humble,," $127,238 ",34.5 years,9.87,33.8 years,93.4," $37,789 "," 15,616 (100% urban, 0% rural). "," 1,583 "
180,"Huntsville, TX", 366 feet," $165,421 ",34.5 years,30.9,28.4 years,84.8," $33,314 "," 40,435 (95% urban, 5% rural). "," 1,308 "
181,"Hurst, TX",," $171,344 ",34.5 years,9.9,38.6 years,94.1," $56,880 "," 38,733 (100% urban, 0% rural). "," 3,911 "
182,Hutto,," $176,819 ",34.5 years,0.96,31.8 years,93.8," $78,163 "," 21,170 (98% urban, 2% rural). "," 21,980 "
183,Ingleside, 16 feet," $128,014 ",34.5 years,14.4,31.0 years,86.2," $61,204 "," 9,639 (81% urban, 19% rural). ", 670 
184,Iowa Park, 1037 feet," $85,158 ",34.5 years,3.64,38.0 years,83.4," $44,311 "," 6,391 (98% urban, 2% rural). "," 1,756 "
185,"Irving, TX",," $158,500 ",34.5 years,67.2,32.0 years,93.4," $61,362 "," 238,284"," 3,544 "
186,Jacinto City,," $81,240 ",34.5 years,1.86,34.1 years,92.5," $31,889 "," 10,809 (100% urban, 0% rural). "," 5,814 "
187,"Jacksonville, TX", 513 feet," $89,068 ",34.5 years,14.1,31.4 years,79.1," $35,074 "," 14,675 (96% urban, 4% rural). "," 1,038 "
188,Jarrell,," $162,310 ",32.3 years,112.6,33.2 years,84.4," $59,590 "," 8,906.", 79 
