,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
61,Newberg, 176 feet," $265,823 ",39.2 years, 5.02 ,32.8 years, 102.8 ," $59,493 "," 22,692 (100% urban, 0% rural). "," 4,522 "
62,"Newport, OR", 177 feet," $254,464 ",39.2 years, 8.88 ,44.4 years, 92.2 ," $41,614 "," 10,116 (99% urban, 1% rural). "," 1,139 "
63,North Albany, 200 feet," $358,744 ",36.3 years, 19.8 ,40.5 years, 105.2 ," $87,904 "," 7,286.", 368 
64,"North Bend, OR", 23 feet," $196,742 ",39.2 years, 3.90 ,41.5 years, 85.5 ," $50,732 "," 9,543 (100% urban, 0% rural). "," 2,445 "
65,North Siuslaw,," $202,678 ",36.3 years, 253.7 ,54.6 years, 101.2 ," $41,263 "," 11,623.", 46 
66,Northeast Umatilla,," $133,994 ",36.3 years, 309.4 ,35.5 years, 91.1 ," $41,498 "," 10,786.", 35 
67,"Northwest Clackamas, OR",," $372,384 ",36.3 years, 129.1 ,37.4 years, 114.2 ," $75,725 "," 248,034."," 1,921 "
68,Northwest Jackson,," $271,705 ",36.3 years, 239.4 ,46.7 years, 97.6 ," $44,282 "," 7,722.", 32 
69,Northwest Josephine,," $255,839 ",36.3 years, 324.3 ,45.6 years, 98.1 ," $38,000 "," 6,605.", 20 
70,Northwest Umatilla,," $144,770 ",36.3 years, 195.5 ,32.3 years, 89.9 ," $51,413 "," 31,857.", 163 
71,"Oak Grove, OR", 125 feet," $312,162 ",39.2 years, 2.92 ,42.7 years, 105.1 ," $64,708 "," 16,629. "," 5,686 "
72,"Oak Hills, OR",," $429,702 ",39.2 years, 1.54 ,34.8 years, 104.8 ," $90,467 "," 11,333. "," 7,344 "
73,Oatfield,," $340,594 ",39.2 years, 4.37 ,47.0 years, 104.4 ," $81,137 "," 13,415. "," 3,073 "
74,Ochoco,," $191,201 ",36.3 years, 698.6 ,36.5 years, 99.0 ," $41,563 "," 16,508.", 24 
75,"Ontario, OR", 2154 feet," $126,013 ",39.2 years, 4.47 ,32.5 years, 84.7 ," $29,443 "," 10,982 (100% urban, 0% rural). "," 2,459 "
76,Oregon City, 350 feet," $316,274 ",39.2 years, 8.14 ,37.5 years, 103.8 ," $71,232 "," 35,266 (100% urban, 0% rural). "," 4,333 "
77,"Pendleton, OR", 1068 feet," $150,895 ",39.2 years, 10.1 ,36.9 years, 82.4 ," $47,754 "," 16,904 (98% urban, 2% rural). "," 1,682 "
78,"Portland, OR", 50 feet," $395,100 ",39.2 years, 134.3 ,36.7 years, 108.0 ," $62,127 "," 639,635"," 4,762 "
79,Prineville, 2860 feet," $154,467 ",39.2 years, 6.65 ,40.6 years, 86.3 ," $34,203 "," 9,258 (97% urban, 3% rural). "," 1,392 "
80,"Redland, OR", 346 feet," $473,802 ",36.3 years, 37.7 ,41.1 years, 109.9 ," $84,790 "," 6,564.", 174 
81,"Redmond, OR", 2997 feet," $224,430 ",39.2 years, 10.2 ,36.8 years, 98.2 ," $50,354 "," 27,941 (100% urban, 0% rural). "," 2,729 "
82,Rockcreek, 180 feet," $402,741 ",39.2 years, 2.01 ,41.3 years, 104.9 ," $83,501 "," 9,316. "," 4,646 "
83,Roseburg, 459 feet," $184,371 ",39.2 years, 9.22 ,43.8 years, 87.4 ," $41,977 "," 21,903 (99% urban, 1% rural). "," 2,376 "
84,"Salem, OR", 154 feet," $221,000 ",39.2 years, 45.7 ,35.9 years, 96.5 ," $51,945 "," 167,421"," 3,661 "
85,"Sandy, OR", 967 feet," $258,001 ",39.2 years, 2.63 ,34.1 years, 103.6 ," $67,036 "," 10,309 (99% urban, 1% rural). "," 3,915 "
86,Scappoose, 61 feet," $258,297 ",39.2 years, 2.46 ,36.1 years, 102.1 ," $68,229 "," 6,856 (99% urban, 1% rural). "," 2,783 "
87,Scio-Lacomb,," $256,180 ",36.3 years, 105.5 ,40.4 years, 94.3 ," $60,638 "," 6,346.", 60 
88,"Seaside, OR", 50 feet," $299,759 ",39.2 years, 3.86 ,44.1 years, 95.6 ," $39,283 "," 6,492 (100% urban, 0% rural). "," 1,683 "
89,"Sheridan, OR", 191 feet," $178,381 ",39.2 years, 1.87 ,40.5 years, 101.5 ," $45,826 "," 6,065 (100% urban, 0% rural). "," 3,244 "
90,"Sherwood, OR", 205 feet," $375,060 ",39.2 years, 4.07 ,37.4 years, 104.9 ," $93,385 "," 18,978 (100% urban, 0% rural). "," 4,660 "
91,"Silverton, OR", 249 feet," $268,020 ",39.2 years, 2.73 ,39.0 years, 96.9 ," $66,717 "," 9,493 (98% urban, 2% rural). "," 3,478 "
92,Sisters-Millican,," $303,058 ",36.3 years, 2547.6 ,43.2 years, 98.5 ," $60,850 "," 30,810.", 12 
93,Somerset West-Rock Creek,," $405,874 ",36.3 years, 19.7 ,30.9 years, 114.0 ," $83,667 "," 62,062."," 3,149 "
94,Southwest Jackson,," $327,580 ",36.3 years, 629.9 ,45.9 years, 98.5 ," $55,711 "," 12,054.", 19 
95,"Springfield, OR", 456 feet," $183,231 ",39.2 years, 14.4 ,35.8 years, 95.4 ," $41,911 "," 60,263 (100% urban, 0% rural). "," 4,184 "
96,"St. Helens, OR", 73 feet," $208,240 ",39.2 years, 4.35 ,37.1 years, 102.3 ," $49,386 "," 13,061 (100% urban, 0% rural). "," 3,006 "
97,Stayton, 457 feet," $227,556 ",39.2 years, 2.70 ,35.1 years, 97.0 ," $46,975 "," 7,846 (99% urban, 1% rural). "," 2,907 "
98,"Sunnyside, OR",," $391,351 ",36.3 years, 2.59 ,30.7 years, 116.6 ," $65,278 "," 7,512."," 2,899 "
99,Sutherlin, 540 feet," $136,255 ",39.2 years, 5.20 ,44.6 years, 85.6 ," $36,772 "," 7,762 (92% urban, 8% rural). "," 1,493 "
100,"Sweet Home, OR", 525 feet," $130,549 ",39.2 years, 5.33 ,38.6 years, 85.9 ," $37,417 "," 9,074 (100% urban, 0% rural). "," 1,703 "
101,Talent, 1635 feet," $216,024 ",39.2 years, 1.26 ,39.4 years, 98.3 ," $37,372 "," 6,323 (100% urban, 0% rural). "," 5,016 "
102,Tenmile,," $168,565 ",36.3 years, 307.5 ,38.8 years, 94.8 ," $41,694 "," 9,469.", 31 
103,The Dalles, 300 feet," $216,341 ",36.3 years, 256.2 ,39.3 years, 99.2 ," $51,215 "," 19,517.", 76 
104,Tigard, 166 feet," $383,568 ",39.2 years, 10.9 ,38.1 years, 105.0 ," $71,038 "," 50,787 (100% urban, 0% rural). "," 4,676 "
105,"Troutdale, OR", 73 feet," $288,916 ",39.2 years, 4.99 ,34.3 years, 103.7 ," $68,672 "," 16,552 (100% urban, 0% rural). "," 3,317 "
106,Tualatin, 123 feet," $403,939 ",39.2 years, 7.78 ,38.7 years, 104.7 ," $77,969 "," 26,907 (100% urban, 0% rural). "," 3,457 "
107,Tumalo, 3182 feet," $511,565 ",36.3 years, 170.9 ,44.5 years, 104.6 ," $80,474 "," 6,978.", 41 
108,"Umatilla, OR", 296 feet," $117,420 ",39.2 years, 3.52 ,31.9 years, 81.9 ," $42,520 "," 7,005 (99% urban, 1% rural). "," 1,992 "
109,West Haven-Sylvan,," $488,297 ",39.2 years, 2.67 ,43.0 years, 106.7 ," $95,756 "," 8,001. "," 2,993 "
110,West Linn, 128 feet," $467,010 ",39.2 years, 7.39 ,43.0 years, 105.3 ," $97,594 "," 26,289 (100% urban, 0% rural). "," 3,559 "
111,West Slope, 345 feet," $503,156 ",39.2 years, 1.73 ,40.4 years, 107.6 ," $76,303 "," 6,554. "," 3,792 "
112,"White City, OR", 1305 feet," $159,066 ",39.2 years, 1.85 ,31.3 years, 96.2 ," $47,093 "," 7,975. "," 4,313 "
113,"Wilsonville, OR", 142 feet," $410,968 ",39.2 years, 6.71 ,35.7 years, 105.9 ," $68,568 "," 22,026 (100% urban, 0% rural). "," 3,283 "
114,"Woodburn, OR", 183 feet," $183,603 ",39.2 years, 5.20 ,33.8 years, 96.5 ," $49,258 "," 24,734 (100% urban, 0% rural). "," 4,757 "
115,"Yoder, OR", 290 feet," $453,286 ",36.3 years, 76.5 ,39.4 years, 109.2 ," $74,618 "," 7,350.", 96 
