,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
19,"Crowley, LA", 21 feet," $93,862 ",36.5 years, 4.91 ,36.5 years, 81.2 ," $27,129 "," 13,189 (100% urban, 0% rural). "," 2,684 "
20,De Ridder,," $139,462 ",36.5 years, 8.49 ,34.0 years, 82.2 ," $41,205 "," 10,799 (99% urban, 1% rural). "," 1,272 "
21,Denham Springs, 45 feet," $143,936 ",36.5 years, 6.03 ,37.2 years, 90.4 ," $47,766 "," 10,097 (100% urban, 0% rural). "," 1,675 "
22,Destrehan, 10 feet," $245,044 ",36.5 years, 6.91 ,40.4 years, 96.6 ," $83,112 "," 11,535. "," 1,668 "
23,Donaldsonville, 23 feet," $118,177 ",36.5 years, 2.55 ,36.2 years, 89.5 ," $38,156 "," 7,635 (99% urban, 1% rural). "," 2,999 "
24,Eden Isle,," $305,306 ",36.5 years, 3.40 ,51.2 years, 98.5 ," $71,905 "," 7,041. "," 2,068 "
25,Estelle, 5 feet," $141,726 ",36.5 years, 5.05 ,39.2 years, 96.6 ," $56,853 "," 16,377. "," 3,240 "
26,"Eunice, LA", 49 feet," $107,132 ",36.5 years, 4.68 ,36.8 years, 82.0 ," $28,881 "," 10,330 (100% urban, 0% rural). "," 2,210 "
27,Fort Polk South,," $80,103 ",36.5 years, 6.16 ,22.6 years, 86.8 ," $43,196 "," 9,038. "," 1,467 "
28,"Franklin, LA", 16 feet," $80,864 ",36.5 years, 10.4 ,37.6 years, 78.7 ," $35,959 "," 7,368 (100% urban, 0% rural). ", 711 
29,Galliano, 4 feet," $126,897 ",36.5 years, 11.0 ,40.9 years, 84.3 ," $52,183 "," 7,676. ", 699 
30,Gardere, 24 feet," $161,756 ",36.5 years, 3.34 ,26.2 years, 91.9 ," $36,986 "," 10,580. "," 3,164 "
31,"Gonzales, LA", 10 feet," $176,074 ",36.5 years, 8.37 ,37.6 years, 91.4 ," $60,884 "," 10,457 (97% urban, 3% rural). "," 1,249 "
32,"Gretna, LA", 5 feet," $163,576 ",36.5 years, 3.50 ,37.5 years, 97.0 ," $39,407 "," 17,845 (100% urban, 0% rural). "," 5,105 "
33,"Hammond, LA", 44 feet," $180,972 ",36.5 years, 12.8 ,27.7 years, 85.2 ," $36,779 "," 20,363 (96% urban, 4% rural). "," 1,597 "
34,Harahan, 7 feet," $222,211 ",36.5 years, 1.97 ,45.0 years, 97.4 ," $59,662 "," 9,334 (100% urban, 0% rural). "," 4,744 "
35,"Harvey, LA", 4 feet," $134,309 ",36.5 years, 6.68 ,38.3 years, 96.6 ," $37,224 "," 20,348. "," 3,048 "
36,Houma, 12 feet," $167,478 ",36.5 years, 14.0 ,36.5 years, 85.6 ," $46,135 "," 34,124 (100% urban, 0% rural). "," 2,432 "
37,Inniswold,," $275,912 ",36.5 years, 2.18 ,35.5 years, 91.3 ," $73,166 "," 6,180. "," 2,841 "
38,"Jefferson, LA", 5 feet," $169,891 ",36.5 years, 2.76 ,47.2 years, 97.5 ," $43,131 "," 11,193. "," 4,058 "
39,"Jennings, LA", 22 feet," $105,262 ",36.5 years, 10.2 ,36.6 years, 80.8 ," $28,671 "," 10,183 (94% urban, 6% rural). ", 994 
40,Kenner, 3 feet," $161,200 ",36.5 years, 15.1 ,35.9 years, 96.5 ," $52,281 "," 67,094"," 4,433 "
41,Lacombe, 17 feet," $160,111 ",36.5 years, 26.7 ,48.0 years, 95.7 ," $47,611 "," 8,679. ", 325 
42,"Lafayette, LA", 41 feet," $193,900 ",36.5 years, 47.6 ,36.0 years, 86.1 ," $48,139 "," 127,625"," 2,682 "
43,Lake Charles, 20 feet," $146,100 ",36.5 years, 40.2 ,35.0 years, 86.3 ," $38,600 "," 76,861"," 1,914 "
44,Laplace, 13 feet," $171,211 ",36.5 years, 21.5 ,36.4 years, 96.5 ," $56,103 "," 29,872. "," 1,390 "
45,Larose, 8 feet," $148,250 ",36.5 years, 11.2 ,38.9 years, 84.6 ," $51,925 "," 7,400. ", 660 
46,"Leesville, LA", 254 feet," $98,657 ",36.5 years, 5.45 ,33.3 years, 81.0 ," $36,331 "," 6,528 (98% urban, 2% rural). "," 1,197 "
47,"Luling, LA", 9 feet," $215,212 ",36.5 years, 18.5 ,38.2 years, 96.8 ," $67,834 "," 12,119. ", 656 
48,Mandeville, 9 feet," $270,781 ",36.5 years, 6.80 ,43.6 years, 97.3 ," $73,073 "," 12,236 (98% urban, 2% rural). "," 1,800 "
49,Marrero, 6 feet," $127,894 ",36.5 years, 8.05 ,40.1 years, 95.8 ," $36,392 "," 33,141. "," 4,118 "
50,Merrydale,," $116,552 ",36.5 years, 4.26 ,33.0 years, 90.8 ," $36,677 "," 9,772. "," 2,292 "
51,"Metairie, LA", 2 feet," $231,100 ",36.5 years, 23.2 ,40.6 years, 97.4 ," $55,758 "," 143,475"," 6,182 "
52,"Minden, LA", 259 feet," $91,092 ",36.5 years, 11.9 ,37.9 years, 81.0 ," $29,681 "," 12,808 (92% urban, 8% rural). "," 1,077 "
53,"Monroe, LA", 74 feet," $150,275 ",36.5 years, 28.7 ,32.5 years, 86.0 ," $27,431 "," 49,601 (100% urban, 0% rural). "," 1,730 "
54,"Morgan City, LA", 8 feet," $134,028 ",36.5 years, 5.86 ,36.9 years, 82.0 ," $42,451 "," 11,943 (100% urban, 0% rural). "," 2,037 "
55,Moss Bluff, 24 feet," $201,415 ",36.5 years, 15.2 ,36.6 years, 87.0 ," $53,741 "," 11,557. ", 760 
56,Natchitoches, 121 feet," $150,116 ",36.5 years, 21.6 ,26.6 years, 85.9 ," $21,169 "," 18,384 (97% urban, 3% rural). ", 853 
57,New Iberia, 17 feet," $121,750 ",36.5 years, 10.6 ,37.4 years, 83.6 ," $35,538 "," 30,745 (99% urban, 1% rural). "," 2,911 "
58,"New Orleans, LA", 11 feet," $219,700 ",36.5 years, 180.6 ,35.7 years, 99.0 ," $38,681 "," 391,495"," 2,168 "
59,Oak Hills Place, 37 feet," $317,262 ",36.5 years, 3.07 ,42.3 years, 91.9 ," $84,250 "," 8,195. "," 2,673 "
60,"Oakdale, LA",," $66,481 ",36.5 years, 5.07 ,41.8 years, 76.1 ," $30,904 "," 7,723 (98% urban, 2% rural). "," 1,522 "
61,Old Jefferson, 28 feet," $194,982 ",36.5 years, 3.53 ,32.5 years, 92.5 ," $72,330 "," 6,980. "," 1,977 "
62,Opelousas, 70 feet," $105,651 ",36.5 years, 7.06 ,35.3 years, 84.4 ," $19,673 "," 16,617 (100% urban, 0% rural). "," 2,355 "
63,"Patterson, LA", 12 feet," $114,425 ",36.5 years, 2.46 ,36.9 years, 82.4 ," $41,130 "," 6,107 (99% urban, 1% rural). "," 2,478 "
64,"Pineville, LA", 123 feet," $135,572 ",36.5 years, 11.5 ,29.7 years, 83.7 ," $42,422 "," 14,425 (98% urban, 2% rural). "," 1,257 "
65,Plaquemine, 24 feet," $132,217 ",36.5 years, 2.86 ,32.5 years, 89.8 ," $41,960 "," 6,963 (100% urban, 0% rural). "," 2,432 "
66,Ponchatoula, 23 feet," $173,861 ",36.5 years, 4.22 ,31.5 years, 84.3 ," $42,193 "," 6,907 (99% urban, 1% rural). "," 1,636 "
67,Prairieville, 22 feet," $195,600
",36.5 years,,34.0 years, 93.1 ," $76,581"," 26,895.",
68,Prien, 10 feet," $216,373 ",36.5 years, 6.92 ,36.0 years, 86.4 ," $73,944 "," 7,810. "," 1,129 "
69,"Raceland, LA", 14 feet," $129,344 ",36.5 years, 21.6 ,40.3 years, 85.5 ," $40,364 "," 10,193. ", 471 
70,Rayne, 32 feet," $88,642 ",36.5 years, 3.45 ,36.2 years, 79.3 ," $32,354 "," 8,039 (99% urban, 1% rural). "," 2,328 "
71,Red Chute, 215 feet," $176,497 ",36.5 years, 9.29 ,36.1 years, 84.7 ," $56,767 "," 6,261. ", 674 
72,"Reserve, LA", 13 feet," $124,440 ",36.5 years, 16.1 ,36.2 years, 95.3 ," $46,974 "," 9,766. ", 608 
73,"River Ridge, LA", 5 feet," $246,467 ",36.5 years, 2.82 ,47.0 years, 96.9 ," $63,920 "," 13,494. "," 4,793 "
74,"Ruston, LA", 319 feet," $174,301 ",36.5 years, 18.1 ,23.8 years, 86.8 ," $26,342 "," 22,301 (96% urban, 4% rural). "," 1,234 "
75,Schriever, 14 feet," $114,356 ",36.5 years, 14.4 ,34.3 years, 85.1 ," $43,793 "," 6,853. ", 477 
76,"Scott, LA", 35 feet," $162,699 ",36.5 years, 8.89 ,37.5 years, 86.0 ," $43,725 "," 8,910 (97% urban, 3% rural). "," 1,003 "
77,"Shenandoah, LA",," $250,394 ",36.5 years, 6.26 ,41.0 years, 90.9 ," $87,491 "," 18,399. "," 2,941 "
78,"Shreveport, LA", 209 feet," $150,000 ",36.5 years, 103.1 ,35.6 years, 86.1 ," $34,647 "," 194,472"," 1,886 "
79,Slidell, 9 feet," $160,215 ",36.5 years, 11.8 ,38.2 years, 96.4 ," $52,879 "," 27,622 (100% urban, 0% rural). "," 2,342 "
80,St. Gabriel, 21 feet," $139,355 ",36.5 years, 28.7 ,39.6 years, 81.8 ," $36,963 "," 6,993 (15% urban, 85% rural). ", 243 
81,St. Martinville, 19 feet," $84,913 ",36.5 years, 3.00 ,40.7 years, 83.3 ," $28,174 "," 6,092 (99% urban, 1% rural). "," 2,031 "
82,St. Rose, 10 feet," $170,998 ",36.5 years, 4.04 ,33.0 years, 95.4 ," $47,059 "," 8,122. "," 2,012 "
83,"Sulphur, LA", 15 feet," $141,350 ",36.5 years, 10.0 ,35.3 years, 85.8 ," $51,661 "," 20,206 (99% urban, 1% rural). "," 2,012 "
84,Tallulah, 87 feet," $61,367 ",36.5 years, 2.71 ,34.6 years, 77.5 ," $23,827 "," 7,181 (100% urban, 0% rural). "," 2,654 "
85,"Terrytown, LA",," $159,367 ",36.5 years, 3.71 ,32.0 years, 96.9 ," $41,981 "," 23,319. "," 6,293 "
86,Thibodaux, 14 feet," $157,148 ",36.5 years, 5.47 ,35.5 years, 86.3 ," $37,209 "," 14,603 (100% urban, 0% rural). "," 2,668 "
87,"Timberlane, LA",," $159,767 ",36.5 years, 2.14 ,36.0 years, 96.8 ," $54,132 "," 10,243. "," 4,796 "
88,Village St. George,," $187,899 ",36.5 years, 2.22 ,38.9 years, 90.5 ," $67,765 "," 7,104. "," 3,200 "
89,Ville Platte, 72 feet," $90,453 ",36.5 years, 3.06 ,38.8 years, 81.8 ," $18,472 "," 7,287 (98% urban, 2% rural). "," 2,385 "
90,Waggaman, 6 feet," $109,452 ",36.5 years, 5.58 ,36.8 years, 96.6 ," $40,206 "," 10,015. "," 1,794 "
91,"Walker, LA",," $162,634 ",36.5 years, 5.75 ,37.8 years, 89.8 ," $52,881 "," 6,238 (98% urban, 2% rural). "," 1,085 "
92,"West Monroe, LA", 88 feet," $129,208 ",36.5 years, 7.72 ,35.2 years, 85.8 ," $30,765 "," 12,985 (100% urban, 0% rural). "," 1,683 "
93,Westwego, 5 feet," $128,696 ",36.5 years, 3.19 ,41.8 years, 96.4 ," $34,049 "," 8,545 (100% urban, 0% rural). "," 2,682 "
94,"Woodmere, LA",," $129,999 ",36.5 years, 3.74 ,36.8 years, 96.8 ," $52,414 "," 12,080. "," 3,231 "
95,"Youngsville, LA", 29 feet," $239,207 ",36.5 years, 6.68 ,34.0 years, 86.5 ," $90,117 "," 11,006 (97% urban, 3% rural). "," 1,647 "
96,Zachary, 100 feet," $214,876 ",36.5 years, 23.7 ,34.3 years, 90.7 ," $76,327 "," 16,219 (82% urban, 18% rural). ", 684 
