,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
44,Colonia, 60 feet," $354,147 ",39.5 years, 3.88 ,41.8 years, 121.6 ," $103,230 "," 17,795. "," 4,590 "
45,Cranford, 81 feet," $444,932 ",36.7 years, 4.82 ,40.4 years, 130.1 ," $99,360 "," 22,430."," 4,653 "
46,Cresskill, 86 feet," $564,357 ",39.5 years, 2.14 ,42.9 years, 124.5 ," $124,044 "," 8,763 (100% urban, 0% rural). "," 4,102 "
47,Crestwood Village, 133 feet," $73,648 ",39.5 years, 4.39 ,73.3 years, 116.1 ," $27,885 "," 7,907. "," 1,800 "
48,"Dayton, NJ", 120 feet," $376,634 ",39.5 years, 2.13 ,38.7 years, 123.1 ," $122,899 "," 7,063. "," 3,318 "
49,"Dover, NJ", 800 feet," $271,604 ",39.5 years, 2.68 ,36.6 years, 116.9 ," $66,929 "," 18,313 (100% urban, 0% rural). "," 6,835 "
50,"Dumont, NJ", 104 feet," $373,977 ",39.5 years, 1.99 ,42.9 years, 119.8 ," $102,055 "," 17,863 (100% urban, 0% rural). "," 8,994 "
51,Dunellen, 60 feet," $292,846 ",39.5 years, 1.04 ,36.6 years, 122.4 ," $77,902 "," 7,417 (100% urban, 0% rural). "," 7,146 "
52,East Brunswick, 10 feet," $410,825 ",36.7 years, 22.0 ,39.1 years, 132.9 ," $101,827 "," 48,440."," 2,206 "
53,East Franklin,," $422,800
",39.5 years,,35.9 years, 120.8 ," $104,478"," 8,669.",
54,"East Orange, NJ", 166 feet," $213,300 ",39.5 years, 3.93 ,33.9 years, 116.4 ," $40,561 "," 64,797"," 16,497 "
55,"East Rutherford, NJ", 60 feet," $400,070 ",39.5 years, 3.81 ,35.6 years, 123.8 ," $81,279 "," 9,798 (100% urban, 0% rural). "," 2,573 "
56,Eatontown, 46 feet," $331,800 ",39.5 years, 5.92 ,41.1 years, 121.5 ," $63,613 "," 12,257 (100% urban, 0% rural). "," 2,071 "
57,Echelon, 80 feet," $198,318 ",39.5 years, 2.84 ,37.0 years, 102.2 ," $59,316 "," 10,743. "," 3,788 "
58,"Edgewater, NJ", 55 feet," $557,051 ",39.5 years, 0.85 ,38.1 years, 128.5 ," $108,365 "," 12,343 (100% urban, 0% rural). "," 14,567 "
59,"Edison, NJ", 100 feet," $369,074 ",36.7 years, 30.1 ,36.3 years, 132.5 ," $93,502 "," 101,207."," 3,360 "
60,"Elizabeth, NJ", 38 feet," $263,800 ",39.5 years, 12.2 ,33.4 years, 119.6 ," $42,690 "," 128,638"," 10,526 "
61,"Elmwood Park, NJ", 59 feet," $361,660 ",39.5 years, 2.65 ,38.8 years, 123.7 ," $78,173 "," 20,374 (100% urban, 0% rural). "," 7,676 "
62,"Emerson, NJ", 50 feet," $485,345 ",39.5 years, 2.24 ,42.8 years, 122.6 ," $116,050 "," 7,617 (100% urban, 0% rural). "," 3,404 "
63,"Englewood, NJ", 44 feet," $396,522 ",39.5 years, 4.92 ,39.0 years, 122.7 ," $81,809 "," 27,670 (100% urban, 0% rural). "," 5,620 "
64,Erlton-Ellisburg,," $234,480 ",36.7 years, 1.86 ,41.7 years, 109.5 ," $66,163 "," 8,327."," 4,478 "
65,"Ewing, NJ", 140 feet," $262,006 ",36.7 years, 15.3 ,37.0 years, 122.1 ," $78,557 "," 36,909."," 2,407 "
66,"Fair Haven, NJ", 40 feet," $705,313 ",39.5 years, 1.67 ,42.1 years, 126.1 ," $166,537 "," 6,048 (100% urban, 0% rural). "," 3,626 "
67,Fair Lawn, 100 feet," $414,161 ",39.5 years, 5.17 ,42.0 years, 121.3 ," $108,748 "," 33,549 (100% urban, 0% rural). "," 6,491 "
68,"Fairfield, NJ", 180 feet," $542,275 ",36.7 years, 10.5 ,40.7 years, 133.8 ," $100,381 "," 6,856.", 656 
69,"Fairview, NJ",," $368,236 ",39.5 years, 0.85 ,35.8 years, 125.9 ," $57,358 "," 14,317 (100% urban, 0% rural). "," 16,834 "
70,Fanwood, 157 feet," $435,229 ",39.5 years, 1.34 ,40.1 years, 121.7 ," $122,012 "," 7,657 (100% urban, 0% rural). "," 5,724 "
71,Florence-Roebling,," $187,934 ",36.7 years, 2.21 ,36.5 years, 106.7 ," $70,099 "," 8,620."," 3,897 "
72,Florham Park, 240 feet," $626,787 ",39.5 years, 7.43 ,39.6 years, 122.2 ," $121,274 "," 11,829 (100% urban, 0% rural). "," 1,591 "
73,Fords, 116 feet," $299,829 ",39.5 years, 2.59 ,38.5 years, 122.0 ," $84,129 "," 15,187. "," 5,860 "
74,Fort Dix, 130 feet," $178,473 ",39.5 years, 11.2 ,34.7 years, 109.6 ," $59,985 "," 7,716. ", 686 
75,"Fort Lee, NJ", 313 feet," $340,785 ",39.5 years, 2.53 ,45.7 years, 125.2 ," $79,879 "," 37,026 (100% urban, 0% rural). "," 14,620 "
76,Franklin Lakes, 390 feet," $986,242 ",39.5 years, 9.45 ,46.4 years, 126.4 ," $169,395 "," 10,837 (100% urban, 0% rural). "," 1,146 "
77,"Franklin Park, NJ",," $248,600
",39.5 years,,36.1 years, 103.9 ," $80,254"," 13,295.",
78,Freehold, 178 feet," $298,365 ",39.5 years, 2.00 ,34.3 years, 122.8 ," $57,939 "," 11,973 (100% urban, 0% rural). "," 6,001 "
79,"Garfield, NJ", 36 feet," $344,334 ",39.5 years, 2.13 ,35.4 years, 125.2 ," $51,087 "," 31,486 (100% urban, 0% rural). "," 14,774 "
80,Glassboro, 144 feet," $195,223 ",39.5 years, 9.21 ,28.5 years, 101.1 ," $67,716 "," 19,007 (99% urban, 1% rural). "," 2,065 "
81,"Glen Ridge, NJ", 187 feet," $621,108 ",39.5 years, 1.28 ,41.8 years, 117.4 ," $169,023 "," 7,681 (100% urban, 0% rural). "," 6,016 "
82,"Glen Rock, NJ", 90 feet," $637,315 ",39.5 years, 2.72 ,41.8 years, 123.1 ," $168,598 "," 11,901 (100% urban, 0% rural). "," 4,377 "
83,Gloucester City, 19 feet," $123,643 ",39.5 years, 2.20 ,35.7 years, 100.7 ," $55,923 "," 11,317 (100% urban, 0% rural). "," 5,138 "
84,Green Knoll, 160 feet," $422,800
",39.5 years,,43.7 years, 121.7 ," $104,478"," 6,200.",
85,Greentree, 90 feet," $302,782 ",39.5 years, 4.67 ,44.2 years, 103.0 ," $119,956 "," 11,367. "," 2,433 "
86,"Guttenberg, NJ", 240 feet," $303,275 ",39.5 years, 0.19 ,36.6 years, 125.1 ," $56,970 "," 11,481 (100% urban, 0% rural). "," 59,505 "
87,"Hackensack, NJ", 22 feet," $304,254 ",39.5 years, 4.12 ,38.8 years, 124.1 ," $59,523 "," 44,519 (100% urban, 0% rural). "," 10,805 "
88,Hackettstown, 571 feet," $266,376 ",39.5 years, 3.70 ,36.6 years, 112.4 ," $68,491 "," 9,551 (100% urban, 0% rural). "," 2,579 "
89,Haddon Heights, 60 feet," $285,745 ",39.5 years, 1.55 ,43.0 years, 101.6 ," $91,261 "," 7,375 (100% urban, 0% rural). "," 4,745 "
90,Haddonfield, 81 feet," $497,530 ",39.5 years, 2.83 ,43.3 years, 104.1 ," $142,878 "," 11,411 (100% urban, 0% rural). "," 4,037 "
91,Haledon, 300 feet," $264,151 ",39.5 years, 1.16 ,34.3 years, 120.7 ," $68,259 "," 8,471 (100% urban, 0% rural). "," 7,300 "
92,Hamilton Square, 100 feet," $284,600
",39.5 years,,44.3 years, 117.1 ," $77,650"," 12,784.",
93,Hammonton, 100 feet," $231,654 ",39.5 years, 41.3 ,42.0 years, 103.0 ," $64,046 "," 14,765 (85% urban, 15% rural). ", 358 
94,"Harrison, NJ", 30 feet," $345,578 ",39.5 years, 1.22 ,34.7 years, 123.4 ," $60,825 "," 15,376 (100% urban, 0% rural). "," 12,591 "
95,Hasbrouck Heights, 130 feet," $418,232 ",39.5 years, 1.51 ,41.6 years, 122.4 ," $87,736 "," 12,147 (100% urban, 0% rural). "," 8,057 "
96,"Hawthorne, NJ", 100 feet," $375,480 ",39.5 years, 3.40 ,39.2 years, 121.5 ," $89,983 "," 19,048 (100% urban, 0% rural). "," 5,609 "
97,"Highland Park, NJ",," $362,464 ",39.5 years, 1.84 ,34.2 years, 124.8 ," $69,223 "," 14,436 (100% urban, 0% rural). "," 7,852 "
98,"Hillsdale, NJ",," $538,368 ",39.5 years, 2.98 ,43.9 years, 121.7 ," $125,075 "," 10,482 (100% urban, 0% rural). "," 3,516 "
99,"Hillside, NJ", 100 feet," $270,475 ",36.7 years, 2.79 ,35.7 years, 124.0 ," $76,970 "," 21,605."," 7,743 "
100,"Hoboken, NJ", 5 feet," $673,909 ",39.5 years, 1.28 ,31.8 years, 131.5 ," $124,149 "," 53,312 (100% urban, 0% rural). "," 41,789 "
101,Holiday City-Berkeley,," $144,507 ",39.5 years, 5.76 ,72.1 years, 120.5 ," $33,389 "," 12,831. "," 2,228 "
102,Hopatcong, 1000 feet," $238,210 ",39.5 years, 11.0 ,44.3 years, 114.9 ," $78,858 "," 14,684 (96% urban, 4% rural). "," 1,340 "
103,"Irvington, NJ", 160 feet," $248,073 ",36.7 years, 2.96 ,31.5 years, 128.8 ," $44,170 "," 58,920."," 19,928 "
104,Iselin, 64 feet," $296,748 ",39.5 years, 3.13 ,41.6 years, 123.6 ," $84,612 "," 18,695. "," 5,965 "
105,Jamesburg, 65 feet," $273,234 ",39.5 years, 0.84 ,37.2 years, 121.4 ," $67,582 "," 6,021 (100% urban, 0% rural). "," 7,143 "
106,"Jersey City, NJ", 83 feet," $376,300 ",39.5 years, 14.9 ,33.7 years, 124.4 ," $63,227 "," 264,161"," 17,710 "
107,Keansburg, 13 feet," $194,240 ",39.5 years, 1.08 ,40.2 years, 120.1 ," $46,311 "," 9,872 (100% urban, 0% rural). "," 9,157 "
108,"Kearny, NJ", 125 feet," $340,588 ",39.5 years, 9.14 ,36.9 years, 121.7 ," $64,504 "," 41,837 (100% urban, 0% rural). "," 4,578 "
109,Kendall Park, 200 feet," $393,884 ",39.5 years, 3.72 ,44.0 years, 120.7 ," $120,614 "," 9,339. "," 2,508 "
110,"Kenilworth, NJ", 91 feet," $356,359 ",39.5 years, 2.14 ,39.8 years, 116.4 ," $103,480 "," 8,153 (100% urban, 0% rural). "," 3,808 "
111,"Keyport, NJ", 36 feet," $273,103 ",39.5 years, 1.41 ,40.0 years, 121.7 ," $53,385 "," 7,162 (100% urban, 0% rural). "," 5,071 "
112,Kinnelon, 700 feet," $553,126 ",39.5 years, 17.9 ,43.9 years, 117.8 ," $138,417 "," 10,381 (69% urban, 31% rural). ", 580 
113,"Lake Mohawk, NJ", 760 feet," $343,371 ",39.5 years, 5.00 ,43.7 years, 113.3 ," $119,488 "," 9,916. "," 1,983 "
114,"Lakewood, NJ", 91 feet," $422,778 ",39.5 years, 7.16 ,17.9 years, 124.4 ," $40,391 "," 53,805. "," 7,518 "
115,Laurence Harbor, 27 feet," $230,211 ",39.5 years, 2.82 ,39.5 years, 122.1 ," $76,713 "," 6,536. "," 2,320 "
116,Leonia, 100 feet," $493,904 ",39.5 years, 1.51 ,43.1 years, 124.1 ," $93,592 "," 9,139 (100% urban, 0% rural). "," 6,071 "
117,"Lincoln Park, NJ",," $345,161 ",39.5 years, 6.73 ,45.9 years, 117.6 ," $87,161 "," 10,482 (100% urban, 0% rural). "," 1,558 "
118,Lincroft, 66 feet," $535,061 ",39.5 years, 5.62 ,44.5 years, 116.7 ," $134,068 "," 6,135. "," 1,092 "
119,Lindenwold, 90 feet," $126,805 ",39.5 years, 3.94 ,35.1 years, 101.2 ," $40,977 "," 17,417 (100% urban, 0% rural). "," 4,416 "
120,"Linden, NJ", 10 feet," $272,752 ",39.5 years, 10.8 ,37.4 years, 116.6 ," $65,891 "," 41,651 (100% urban, 0% rural). "," 3,854 "
121,"Linwood, NJ", 28 feet," $280,250 ",39.5 years, 3.83 ,46.6 years, 103.5 ," $86,024 "," 7,052 (98% urban, 2% rural). "," 1,842 "
122,"Little Falls, NJ", 360 feet," $364,847 ",36.7 years, 2.75 ,40.6 years, 133.9 ," $74,173 "," 10,772."," 3,912 "
123,Little Ferry, 9 feet," $339,950 ",39.5 years, 1.53 ,40.3 years, 122.3 ," $66,216 "," 10,866 (100% urban, 0% rural). "," 7,118 "
124,"Livingston, NJ", 307 feet," $573,161 ",36.7 years, 13.9 ,40.6 years, 134.5 ," $119,400 "," 26,590."," 1,915 "
125,"Lodi, NJ", 43 feet," $368,445 ",39.5 years, 2.26 ,36.6 years, 124.2 ," $56,967 "," 24,654 (100% urban, 0% rural). "," 10,892 "
126,"Long Branch, NJ", 19 feet," $338,168 ",39.5 years, 5.22 ,37.2 years, 124.6 ," $53,161 "," 30,522 (100% urban, 0% rural). "," 5,852 "
127,"Lyndhurst, NJ", 101 feet," $369,587 ",36.7 years, 4.65 ,39.5 years, 134.1 ," $76,644 "," 19,390."," 4,171 "
128,Madison Park, 140 feet," $283,502 ",39.5 years, 1.64 ,40.5 years, 121.9 ," $68,488 "," 7,144. "," 4,347 "
129,"Madison, NJ", 261 feet," $704,476 ",39.5 years, 4.20 ,39.4 years, 120.6 ," $125,520 "," 16,122 (100% urban, 0% rural). "," 3,838 "
130,"Manville, NJ", 60 feet," $260,418 ",39.5 years, 2.48 ,39.6 years, 122.6 ," $66,482 "," 10,388 (100% urban, 0% rural). "," 4,186 "
131,"Maplewood, NJ", 136 feet," $431,801 ",36.7 years, 3.85 ,37.7 years, 131.3 ," $96,174 "," 23,170."," 6,026 "
132,Margate City, 8 feet," $454,111 ",39.5 years, 1.41 ,59.7 years, 107.2 ," $67,731 "," 6,333 (100% urban, 0% rural). "," 4,503 "
133,"Marlton, NJ", 88 feet," $243,932 ",39.5 years, 3.24 ,42.4 years, 102.4 ," $71,508 "," 10,133. "," 3,132 "
134,"Martinsville, NJ", 306 feet," $422,800
",39.5 years,,47.0 years, 123.8 ," $104,478"," 11,980.",
135,Matawan, 55 feet," $335,515 ",39.5 years, 2.28 ,39.0 years, 120.8 ," $85,936 "," 8,718 (100% urban, 0% rural). "," 3,825 "
136,"Maywood, NJ", 94 feet," $389,842 ",39.5 years, 1.30 ,42.4 years, 121.7 ," $91,214 "," 9,746 (100% urban, 0% rural). "," 7,498 "
137,Mercerville-Hamilton Square,," $300,455 ",36.7 years, 7.71 ,40.9 years, 122.7 ," $93,126 "," 27,308."," 3,544 "
138,Mercerville, 90 feet," $284,600
",39.5 years,,41.7 years, 113.7 ," $77,650"," 13,230.",
139,Metuchen, 117 feet," $404,050 ",39.5 years, 2.74 ,41.9 years, 123.2 ," $114,875 "," 13,826 (100% urban, 0% rural). "," 5,045 "
140,"Middlesex, NJ", 61 feet," $310,918 ",39.5 years, 3.50 ,39.4 years, 122.0 ," $84,362 "," 13,888 (100% urban, 0% rural). "," 3,970 "
141,Midland Park, 350 feet," $475,951 ",39.5 years, 1.56 ,43.3 years, 122.6 ," $105,275 "," 7,305 (100% urban, 0% rural). "," 4,668 "
142,Millburn,," over $1,000,000 ",36.7 years, 9.38 ,39.2 years, 146.8 ," $158,020 "," 19,187."," 2,045 "
143,"Milltown, NJ", 60 feet," $356,817 ",39.5 years, 1.57 ,40.5 years, 121.1 ," $108,689 "," 7,032 (100% urban, 0% rural). "," 4,472 "
144,"Millville, NJ", 37 feet," $164,158 ",39.5 years, 42.3 ,38.6 years, 100.9 ," $48,471 "," 28,497 (89% urban, 11% rural). ", 673 
145,"Montclair, NJ", 300 feet," $562,866 ",36.7 years, 6.30 ,37.5 years, 138.6 ," $90,446 "," 37,837."," 6,003 "
146,"Montvale, NJ", 310 feet," $626,774 ",39.5 years, 3.97 ,43.1 years, 124.3 ," $117,980 "," 8,148 (100% urban, 0% rural). "," 2,050 "
147,Moorestown-Lenola,," $390,556 ",39.5 years, 7.04 ,44.2 years, 102.8 ," $103,506 "," 14,217. "," 2,018 "
148,"Morristown, NJ",," $439,174 ",39.5 years, 2.94 ,36.4 years, 119.8 ," $86,418 "," 19,085 (100% urban, 0% rural). "," 6,488 "
149,Mountainside, 142 feet," $640,436 ",39.5 years, 4.02 ,47.7 years, 123.2 ," $125,198 "," 6,837 (100% urban, 0% rural). "," 1,699 "
150,Mystic Island,," $200,802 ",39.5 years, 7.62 ,49.8 years, 119.8 ," $59,534 "," 8,493. "," 1,115 "
151,New Brunswick, 80 feet," $260,091 ",39.5 years, 5.23 ,23.8 years, 126.6 ," $41,259 "," 57,080 (100% urban, 0% rural). "," 10,921 "
152,"New Milford, NJ", 33 feet," $411,447 ",39.5 years, 2.31 ,41.4 years, 121.8 ," $85,448 "," 16,678 (100% urban, 0% rural). "," 7,219 "
153,"New Providence, NJ", 220 feet," $593,073 ",39.5 years, 3.68 ,40.0 years, 117.5 ," $142,444 "," 12,422 (100% urban, 0% rural). "," 3,377 "
154,"Newark, NJ", 95 feet," $235,200 ",39.5 years, 23.8 ,34.9 years, 120.1 ," $31,100 "," 281,770"," 11,841 "
155,"Newton, NJ", 608 feet," $209,621 ",39.5 years, 3.10 ,41.7 years, 114.1 ," $52,490 "," 7,878 (100% urban, 0% rural). "," 2,543 "
156,North Arlington, 122 feet," $363,748 ",39.5 years, 2.58 ,40.4 years, 121.7 ," $81,202 "," 15,723 (100% urban, 0% rural). "," 6,091 "
157,North Brunswick Township,," $333,808 ",36.7 years, 12.0 ,35.4 years, 131.5 ," $82,213 "," 37,594."," 3,127 "
158,North Caldwell, 460 feet," $746,942 ",39.5 years, 2.99 ,45.1 years, 115.1 ," $186,890 "," 6,783 (100% urban, 0% rural). "," 2,267 "
159,North Haledon, 250 feet," $444,500 ",39.5 years, 3.44 ,51.3 years, 121.4 ," $101,299 "," 8,512 (100% urban, 0% rural). "," 2,473 "
160,North Plainfield, 100 feet," $282,390 ",39.5 years, 2.79 ,37.5 years, 122.2 ," $73,599 "," 22,029 (100% urban, 0% rural). "," 7,897 "
161,"Northfield, NJ", 33 feet," $226,717 ",39.5 years, 3.43 ,41.8 years, 103.7 ," $74,388 "," 8,604 (100% urban, 0% rural). "," 2,511 "
162,Nutley, 91 feet," $373,198 ",36.7 years, 3.37 ,39.3 years, 131.2 ," $72,018 "," 26,562."," 7,886 "
163,"Oakland, NJ",," $457,686 ",39.5 years, 8.60 ,42.6 years, 121.0 ," $119,548 "," 13,046 (100% urban, 0% rural). "," 1,516 "
164,Ocean Acres, 120 feet," $263,087 ",39.5 years, 5.85 ,39.8 years, 119.5 ," $79,325 "," 16,142. "," 2,758 "
165,"Ocean City, NJ", 6 feet," $558,713 ",39.5 years, 6.92 ,53.7 years, 108.4 ," $65,128 "," 11,374 (100% urban, 0% rural). "," 1,644 "
166,Old Bridge, 30 feet," $357,946 ",39.5 years, 7.05 ,41.8 years, 120.2 ," $102,712 "," 23,753. "," 3,369 "
167,Oradell, 91 feet," $584,606 ",39.5 years, 2.42 ,44.0 years, 120.3 ," $154,320 "," 8,161 (100% urban, 0% rural). "," 3,366 "
168,"Orange, NJ", 204 feet," $262,130 ",36.7 years, 2.21 ,32.5 years, 130.7 ," $43,185 "," 31,907."," 14,468 "
169,Palisades Park, 100 feet," $528,139 ",39.5 years, 1.21 ,39.4 years, 128.4 ," $66,981 "," 20,471 (100% urban, 0% rural). "," 16,921 "
170,"Palmyra, NJ", 18 feet," $172,599 ",39.5 years, 1.98 ,43.3 years, 101.8 ," $66,312 "," 7,333 (100% urban, 0% rural). "," 3,709 "
171,Paramus, 56 feet," $590,033 ",39.5 years, 10.5 ,46.8 years, 124.9 ," $107,770 "," 26,832 (100% urban, 0% rural). "," 2,562 "
172,"Park Ridge, NJ", 250 feet," $556,842 ",39.5 years, 2.60 ,43.7 years, 123.0 ," $109,789 "," 8,841 (100% urban, 0% rural). "," 3,404 "
173,"Passaic, NJ", 115 feet," $339,900 ",39.5 years, 3.11 ,30.0 years, 127.2 ," $38,029 "," 70,646"," 22,700 "
174,"Paterson, NJ", 70 feet," $223,600 ",39.5 years, 8.44 ,35.0 years, 122.6 ," $36,146 "," 147,011"," 17,413 "
175,Pennsauken, 65 feet," $170,531 ",36.7 years, 10.5 ,36.1 years, 105.6 ," $65,591 "," 36,434."," 3,459 "
176,Pennsville, 19 feet," $152,866 ",39.5 years, 10.5 ,42.9 years, 101.3 ," $50,772 "," 11,888. "," 1,135 "
177,Perth Amboy, 65 feet," $253,109 ",39.5 years, 4.78 ,32.9 years, 123.9 ," $50,165 "," 52,328 (100% urban, 0% rural). "," 10,943 "
178,"Phillipsburg, NJ", 314 feet," $138,888 ",39.5 years, 3.22 ,40.7 years, 110.3 ," $45,803 "," 14,570 (100% urban, 0% rural). "," 4,519 "
179,"Pine Hill, NJ", 170 feet," $142,924 ",39.5 years, 3.93 ,36.8 years, 100.9 ," $49,410 "," 10,464 (100% urban, 0% rural). "," 2,663 "
180,Pine Lake Park, 70 feet," $272,900
",39.5 years,,38.8 years, 119.0 ," $62,222"," 8,707.",
