,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
50,Central Volusia,," $289,528 ",38.7 years, 429.2 ,40.9 years, 95.9 ," $72,119 "," 24,310.", 57 
51,Century Village, 15 feet," $55,795 ",38.7 years, 1.00 ,77.7 years, 99.0 ," $23,997 "," 8,483."," 8,452 "
52,Cheval, 60 feet," $357,797 ",42.1 years, 6.68 ,41.5 years, 96.4 ," $68,526 "," 10,702. "," 1,601 "
53,Citrus Hills, 110 feet," $235,695 ",42.1 years, 9.80 ,68.9 years, 84.3 ," $64,533 "," 7,470. ", 762 
54,"Citrus Park-Fern Lake, FL",," $274,931 ",38.7 years, 80.4 ,35.6 years, 102.1 ," $79,145 "," 117,103."," 1,456 "
55,"Citrus Park, FL", 45 feet," $205,742 ",42.1 years, 10.6 ,37.7 years, 95.6 ," $64,296 "," 24,252. "," 2,294 "
56,Citrus Ridge,," $201,205 ",38.7 years, 46.8 ,37.3 years, 89.2 ," $57,699 "," 14,195.", 303 
57,Citrus Springs, 43 feet," $125,206 ",42.1 years, 21.3 ,46.4 years, 83.8 ," $46,986 "," 8,622. ", 405 
58,"Clearwater, FL", 50 feet," $190,900 ",42.1 years, 25.3 ,44.0 years, 96.4 ," $41,844 "," 114,351"," 4,522 "
59,"Clermont, FL", 190 feet," $210,617 ",42.1 years, 10.5 ,41.6 years, 92.0 ," $59,704 "," 30,600 (100% urban, 0% rural). "," 2,918 "
60,Clewiston, 18 feet," $152,423 ",42.1 years, 4.68 ,36.9 years, 82.8 ," $46,246 "," 7,376 (98% urban, 2% rural). "," 1,577 "
61,Cocoa Beach, 12 feet," $315,263 ",42.1 years, 4.89 ,56.9 years, 94.4 ," $53,808 "," 11,400 (100% urban, 0% rural). "," 2,331 "
62,Cocoa, 39 feet," $108,744 ",42.1 years, 7.46 ,37.2 years, 89.0 ," $32,883 "," 17,419 (100% urban, 0% rural). "," 2,335 "
63,Coconut Creek, 17 feet," $182,598 ",42.1 years, 11.5 ,40.5 years, 113.4 ," $56,768 "," 58,536 (100% urban, 0% rural). "," 5,070 "
64,Collier Manor-Cresthaven,," $190,321 ",38.7 years, 1.16 ,36.0 years, 120.1 ," $45,851 "," 8,287."," 7,154 "
65,"Conway, FL", 108 feet," $234,944 ",42.1 years, 3.45 ,44.1 years, 92.7 ," $69,678 "," 13,467. "," 3,903 "
66,Cooper City, 8 feet," $388,553 ",42.1 years, 6.35 ,39.9 years, 116.2 ," $94,583 "," 34,923 (100% urban, 0% rural). "," 5,503 "
67,Coral Gables, 10 feet," $834,822 ",42.1 years, 13.1 ,41.4 years, 118.8 ," $94,990 "," 51,227 (100% urban, 0% rural). "," 3,901 "
68,"Coral Springs, FL", 13 feet," $336,100 ",42.1 years, 23.9 ,38.3 years, 114.7 ," $70,031 "," 130,046"," 5,439 "
69,Coral Terrace, 10 feet," $326,732 ",42.1 years, 3.43 ,45.2 years, 113.4 ," $52,470 "," 24,376. "," 7,109 "
70,"Country Club, FL", 5 feet," $200,669 ",42.1 years, 4.31 ,36.0 years, 109.4 ," $44,745 "," 47,105. "," 10,924 "
71,Country Walk, 5 feet," $314,977 ",42.1 years, 2.75 ,38.5 years, 110.9 ," $77,700 "," 15,997. "," 5,825 "
72,"Crestview, FL", 236 feet," $175,992 ",42.1 years, 12.8 ,31.2 years, 88.7 ," $54,087 "," 22,955 (95% urban, 5% rural). "," 1,793 "
73,Cutler Bay,," $265,200
",42.1 years,,36.7 years, 107.8 ," $45,935"," 44,321 (100% urban, 0% rural).",
74,Cutler Ridge, 11 feet," $261,686 ",38.7 years, 4.75 ,34.5 years, 116.9 ," $58,644 "," 26,918."," 5,663 "
75,"Cutler, FL", 12 feet," $620,830 ",38.7 years, 6.73 ,38.7 years, 121.5 ," $135,933 "," 18,889."," 2,808 "
76,Cypress Gardens, 145 feet," $182,361 ",42.1 years, 3.80 ,49.0 years, 87.9 ," $56,192 "," 8,917. "," 2,348 "
77,Cypress Lake, 5 feet," $156,912 ",42.1 years, 3.98 ,62.7 years, 92.8 ," $47,200 "," 11,846. "," 2,979 "
78,Dade City, 104 feet," $98,092 ",42.1 years, 3.28 ,40.9 years, 93.4 ," $38,248 "," 6,750 (98% urban, 2% rural). "," 2,057 "
79,Dania Beach, 5 feet," $219,766 ",38.7 years, 6.09 ,39.9 years, 121.8 ," $44,374 "," 21,477."," 3,527 "
80,Davie, 5 feet," $273,700 ",42.1 years, 33.4 ,36.9 years, 113.9 ," $64,986 "," 101,857"," 3,047 "
81,Daytona Beach, 10 feet," $132,300 ",42.1 years, 58.7 ,41.4 years, 89.6 ," $31,273 "," 66,649"," 1,136 "
82,De Bary,," $182,482 ",42.1 years, 18.2 ,50.4 years, 89.5 ," $52,529 "," 19,648 (87% urban, 13% rural). "," 1,078 "
83,"De Land, FL", 54 feet," $182,950 ",42.1 years, 15.9 ,40.7 years, 89.7 ," $42,241 "," 29,194 (99% urban, 1% rural). "," 1,839 "
84,Deerfield Beach, 16 feet," $155,900 ",42.1 years, 13.4 ,42.0 years, 113.7 ," $43,556 "," 79,754"," 5,941 "
85,Delray Beach, 20 feet," $265,500 ",42.1 years, 15.4 ,47.9 years, 103.5 ," $53,620 "," 67,366"," 4,384 "
86,Deltona, 50 feet," $129,100 ",42.1 years, 35.8 ,40.3 years, 88.8 ," $48,161 "," 90,139"," 2,519 "
87,Destin, 25 feet," $305,038 ",42.1 years, 7.53 ,42.1 years, 92.3 ," $70,878 "," 13,355 (100% urban, 0% rural). "," 1,774 "
88,Doctor Phillips, 125 feet," $363,073 ",42.1 years, 3.40 ,45.2 years, 95.4 ," $82,005 "," 10,981. "," 3,230 "
89,Doral, 5 feet," $394,142 ",42.1 years, 13.2 ,35.2 years, 113.1 ," $77,044 "," 54,116 (100% urban, 0% rural). "," 4,111 "
90,Dowling Park, 73 feet," $111,487 ",38.7 years, 174.6 ,44.6 years, 85.7 ," $39,276 "," 7,604.", 44 
91,Dunedin, 39 feet," $186,145 ",42.1 years, 10.4 ,52.9 years, 96.1 ," $48,502 "," 35,819 (99% urban, 1% rural). "," 3,450 "
92,East Lake-Orient Park,," $101,994 ",42.1 years, 4.38 ,33.5 years, 93.9 ," $39,217 "," 22,753. "," 5,195 "
93,East Lake, 15 feet," $342,923 ",42.1 years, 29.8 ,51.0 years, 96.9 ," $83,425 "," 30,962. "," 1,040 "
94,East Leon,," $249,652 ",38.7 years, 147.6 ,37.2 years, 94.8 ," $73,652 "," 31,203.", 211 
95,"East Marion, FL",," $78,990 ",38.7 years, 496.0 ,46.0 years, 84.5 ," $32,471 "," 23,131.", 47 
96,East Milton, 16 feet," $189,100
",42.1 years,,39.0 years, 84.1 ," $63,619"," 11,074.",
97,"East Orange, FL",," $207,386 ",38.7 years, 294.6 ,37.1 years, 96.7 ," $52,530 "," 14,372.", 49 
98,East Perrine, 15 feet," $365,939 ",38.7 years, 1.97 ,35.3 years, 119.1 ," $77,135 "," 7,689."," 3,895 "
99,East Wakulla,," $157,031 ",38.7 years, 296.8 ,35.9 years, 86.4 ," $59,452 "," 23,096.", 78 
100,"Edgewater, FL", 6 feet," $151,814 ",42.1 years, 9.97 ,51.3 years, 89.3 ," $49,433 "," 21,121 (97% urban, 3% rural). "," 2,119 "
101,Eglin,," $303,068 ",38.7 years, 368.5 ,22.7 years, 99.9 ," $45,562 "," 12,450.", 34 
102,Egypt Lake-Leto, 45 feet," $146,792 ",42.1 years, 5.97 ,35.7 years, 95.6 ," $39,271 "," 35,282. "," 5,910 "
103,Elfers, 41 feet," $75,766 ",42.1 years, 3.51 ,42.9 years, 93.7 ," $33,135 "," 13,986. "," 3,984 "
104,"Englewood, FL", 13 feet," $173,827 ",42.1 years, 9.83 ,65.6 years, 95.1 ," $44,965 "," 14,863. "," 1,512 "
105,Ensley, 133 feet," $115,835 ",42.1 years, 12.3 ,40.5 years, 85.5 ," $41,347 "," 20,602. "," 1,670 "
106,Estero Island,," $405,007 ",38.7 years, 6.01 ,60.4 years, 106.2 ," $60,452 "," 11,528."," 1,920 "
107,Estero, 11 feet," $357,827 ",42.1 years, 21.1 ,63.2 years, 95.6 ," $74,960 "," 22,612. "," 1,072 "
108,"Eustis, FL", 67 feet," $137,329 ",42.1 years, 8.35 ,40.4 years, 90.1 ," $41,385 "," 19,455 (100% urban, 0% rural). "," 2,329 "
109,Fairview Shores, 95 feet," $177,902 ",42.1 years, 3.91 ,37.1 years, 92.4 ," $44,351 "," 10,239. "," 2,616 "
110,Fellowship, 178 feet," $122,471 ",38.7 years, 139.0 ,54.6 years, 86.4 ," $38,742 "," 22,788.", 164 
111,Fern Park, 99 feet," $189,509 ",42.1 years, 2.05 ,46.6 years, 91.7 ," $53,232 "," 7,704. "," 3,756 "
112,Fernandina Beach, 25 feet," $318,665 ",42.1 years, 10.7 ,54.0 years, 91.9 ," $64,781 "," 12,103 (89% urban, 11% rural). "," 1,129 "
113,Ferry Pass, 37 feet," $143,369 ",42.1 years, 14.1 ,30.5 years, 86.3 ," $40,336 "," 28,921. "," 2,054 "
114,Fish Hawk, 60 feet," $354,873 ",42.1 years, 16.3 ,36.2 years, 97.8 ," $115,043 "," 14,087. ", 862 
115,Fleming Island,," $170,300
",42.1 years,,43.6 years, 90.7 ," $56,315"," 27,126.",
116,Florida City, 6 feet," $125,103 ",42.1 years, 3.22 ,26.8 years, 106.7 ," $27,866 "," 12,062 (100% urban, 0% rural). "," 3,747 "
117,Florida Ridge,," $112,054 ",42.1 years, 10.8 ,45.0 years, 89.3 ," $47,761 "," 18,164. "," 1,682 "
118,"Forest City, FL", 95 feet," $221,968 ",42.1 years, 4.27 ,40.6 years, 92.0 ," $58,507 "," 13,854. "," 3,244 "
119,"Fort Lauderdale, FL", 8 feet," $325,300 ",42.1 years, 31.7 ,40.1 years, 118.3 ," $52,813 "," 178,764"," 5,634 "
120,Fort McCoy-Anthony,," $104,354 ",38.7 years, 186.6 ,38.3 years, 85.4 ," $37,961 "," 20,434.", 109 
121,Fort Myers Beach, 8 feet," $453,355 ",42.1 years, 2.86 ,67.2 years, 99.8 ," $62,386 "," 6,811 (100% urban, 0% rural). "," 2,378 "
122,Fort Myers, 10 feet," $219,700 ",42.1 years, 31.8 ,44.7 years, 94.3 ," $36,485 "," 77,154"," 2,424 "
123,Fort Pierce North,," $72,307 ",42.1 years, 4.47 ,40.0 years, 88.7 ," $22,986 "," 6,474. "," 1,448 "
124,Fort Pierce, 5 feet," $107,735 ",42.1 years, 14.7 ,37.8 years, 90.1 ," $26,905 "," 43,601 (99% urban, 1% rural). "," 2,958 "
125,Fort Walton Beach, 18 feet," $179,158 ",42.1 years, 7.44 ,40.4 years, 89.2 ," $52,151 "," 21,558 (100% urban, 0% rural). "," 2,896 "
126,Fountainbleau, 5 feet," $174,161 ",42.1 years, 4.40 ,41.5 years, 109.6 ," $46,143 "," 59,764. "," 13,574 "
127,"Four Corners, FL", 15 feet," $186,500
",42.1 years,,36.7 years, 95.7 ," $50,036"," 26,116.",
128,Fruit Cove, 10 feet," $330,392 ",42.1 years, 17.9 ,40.7 years, 91.5 ," $107,835 "," 29,362. "," 1,644 "
129,Fruitville, 25 feet," $250,086 ",42.1 years, 7.04 ,48.8 years, 96.8 ," $64,234 "," 13,224. "," 1,879 "
130,Fuller Heights, 115 feet," $135,300
",42.1 years,,39.2 years, 88.5 ," $46,355"," 8,758.",
131,"Gainesville, FL", 183 feet," $154,600 ",42.1 years, 48.2 ,26.6 years, 89.4 ," $32,968 "," 131,593"," 2,731 "
132,"Gateway, FL", 25 feet," $337,982 ",42.1 years, 8.55 ,43.2 years, 94.0 ," $87,761 "," 8,401. ", 982 
133,Gibsonton, 10 feet," $161,178 ",42.1 years, 12.9 ,31.6 years, 94.5 ," $47,946 "," 14,234. "," 1,108 "
134,"Gifford, FL", 17 feet," $212,241 ",42.1 years, 7.05 ,45.0 years, 92.8 ," $32,824 "," 9,590. "," 1,361 "
135,Glades,," $346,495 ",38.7 years, 1184.3 ,34.1 years, 97.6 ," $82,142 "," 21,290.", 18 
136,Gladeview,," $107,711 ",42.1 years, 2.54 ,31.8 years, 107.5 ," $24,963 "," 11,535. "," 4,540 "
137,Glenvar Heights, 12 feet," $374,231 ",42.1 years, 4.21 ,39.0 years, 113.4 ," $58,997 "," 16,898. "," 4,014 "
138,"Golden Gate, FL", 11 feet," $186,912 ",42.1 years, 4.04 ,32.1 years, 95.9 ," $43,281 "," 23,961. "," 5,936 "
139,Golden Glades, 5 feet," $185,916 ",42.1 years, 4.92 ,34.2 years, 108.8 ," $40,309 "," 33,145. "," 6,741 "
140,Golden Lakes, 15 feet," $99,166 ",38.7 years, 2.36 ,38.5 years, 102.2 ," $35,362 "," 7,456."," 3,153 "
141,Goldenrod, 80 feet," $195,488 ",42.1 years, 2.59 ,32.4 years, 92.8 ," $43,498 "," 12,039. "," 4,642 "
142,Gonzalez, 140 feet," $166,708 ",42.1 years, 15.3 ,42.3 years, 85.9 ," $67,311 "," 13,273. ", 868 
143,Goulds, 11 feet," $200,429 ",42.1 years, 2.96 ,32.2 years, 108.1 ," $34,135 "," 10,103. "," 3,409 "
144,Greater Carrollwood,," $245,283 ",38.7 years, 9.57 ,37.0 years, 102.1 ," $68,241 "," 39,086."," 4,085 "
145,Greater Northdale,," $245,923 ",38.7 years, 7.90 ,35.8 years, 101.4 ," $78,340 "," 23,859."," 3,021 "
146,Greater Sun Center, 50 feet," $194,094 ",38.7 years, 12.5 ,75.0 years, 105.5 ," $51,149 "," 19,031."," 1,519 "
147,Green Cove Springs, 17 feet," $144,042 ",42.1 years, 6.82 ,41.2 years, 87.5 ," $50,366 "," 7,109 (94% urban, 6% rural). "," 1,043 "
148,"Greenacres, FL", 19 feet," $145,756 ",42.1 years, 4.66 ,35.8 years, 100.2 ," $45,723 "," 39,157 (100% urban, 0% rural). "," 8,405 "
149,"Groveland, FL", 107 feet," $162,811 ",42.1 years, 2.63 ,39.3 years, 91.4 ," $57,818 "," 10,460 (91% urban, 9% rural). "," 3,976 "
150,Gulf Breeze-Harold,," $222,482 ",38.7 years, 255.8 ,37.6 years, 91.9 ," $69,205 "," 67,908.", 266 
151,Gulf Breeze, 14 feet," $442,528 ",42.1 years, 4.75 ,40.6 years, 88.8 ," $103,117 "," 6,195 (89% urban, 11% rural). "," 1,304 "
152,Gulf Gate Estates,," $190,946 ",42.1 years, 2.81 ,53.4 years, 96.5 ," $47,040 "," 10,911. "," 3,881 "
153,Gulf Gate-Osprey,," $313,643 ",38.7 years, 15.2 ,56.0 years, 104.8 ," $61,601 "," 30,695."," 2,015 "
154,"Gulfport, FL", 17 feet," $170,870 ",42.1 years, 2.83 ,54.6 years, 96.1 ," $45,609 "," 12,198 (100% urban, 0% rural). "," 4,306 "
155,Haines City, 200 feet," $129,050 ",42.1 years, 8.29 ,34.2 years, 87.1 ," $34,665 "," 22,072 (97% urban, 3% rural). "," 2,662 "
156,Hallandale Beach, 10 feet," $246,100
",42.1 years,,46.5 years, 111.8 ," $54,212"," 39,051 (100% urban, 0% rural).",
157,Hallandale,," $179,787 ",38.7 years, 4.21 ,52.7 years, 120.6 ," $36,755 "," 36,703."," 8,718 "
158,Hamptons at Boca Raton, 15 feet," $149,804 ",38.7 years, 2.49 ,72.9 years, 104.6 ," $38,800 "," 12,593."," 5,065 "
159,"Hernando, FL", 50 feet," $91,292 ",42.1 years, 31.5 ,56.5 years, 80.6 ," $30,336 "," 9,054. ", 288 
160,Hialeah Gardens, 10 feet," $177,520 ",42.1 years, 2.46 ,42.6 years, 108.6 ," $45,262 "," 23,555 (100% urban, 0% rural). "," 9,577 "
161,"Hialeah, FL", 7 feet," $203,800 ",42.1 years, 19.2 ,44.6 years, 111.7 ," $30,495 "," 236,385"," 12,285 "
162,Highland City, 120 feet," $178,929 ",42.1 years, 0.83 ,40.3 years, 86.2 ," $68,716 "," 10,834. "," 13,072 "
163,Hobe Sound, 24 feet," $169,693 ",42.1 years, 5.46 ,55.4 years, 90.9 ," $41,581 "," 11,521. "," 2,109 "
164,Holiday, 17 feet," $77,428 ",42.1 years, 5.38 ,45.5 years, 93.8 ," $32,973 "," 22,403. "," 4,163 "
165,"Holly Hill, FL", 15 feet," $90,714 ",42.1 years, 3.89 ,44.7 years, 88.5 ," $30,347 "," 11,765 (100% urban, 0% rural). "," 3,023 "
166,"Hollywood, FL", 11 feet," $235,500 ",42.1 years, 27.3 ,43.6 years, 114.9 ," $52,682 "," 152,007"," 5,560 "
167,"Homestead, FL", 7 feet," $204,800 ",42.1 years, 14.3 ,27.7 years, 109.1 ," $32,001 "," 68,000"," 4,761 "
168,Homosassa Springs, 6 feet," $76,787 ",42.1 years, 25.8 ,52.6 years, 79.4 ," $31,878 "," 13,791. ", 534 
169,Horizon West,," $214,000
",42.1 years,,32.5 years, 94.3 ," $51,335"," 14,000.",
170,Howey-in-the-Hills-Okahumpka,," $172,200 ",38.7 years, 60.2 ,64.6 years, 95.2 ," $51,414 "," 16,323.", 271 
171,"Hudson, FL",," $147,019 ",42.1 years, 6.37 ,56.4 years, 95.3 ," $39,952 "," 12,158. "," 1,910 "
172,Hunters Creek, 90 feet," $316,626 ",42.1 years, 4.30 ,38.4 years, 94.4 ," $67,070 "," 14,321. "," 3,327 "
173,Hutchinson Island,," $232,487 ",38.7 years, 8.58 ,65.8 years, 98.6 ," $49,524 "," 11,192."," 1,304 "
174,Immokalee, 35 feet," $99,638 ",42.1 years, 8.07 ,28.3 years, 93.3 ," $28,438 "," 24,154. "," 2,993 "
175,Indian Harbour Beach, 10 feet," $258,091 ",42.1 years, 2.14 ,50.3 years, 92.3 ," $55,895 "," 8,334 (100% urban, 0% rural). "," 3,895 "
176,Indian River Estates, 15 feet," $130,346 ",42.1 years, 5.54 ,55.1 years, 90.3 ," $41,885 "," 6,220. "," 1,123 "
177,Indiantown, 30 feet," $92,761 ",42.1 years, 5.97 ,30.1 years, 88.9 ," $34,587 "," 6,083. "," 1,019 "
178,Interior County,," $336,361 ",38.7 years, 378.1 ,60.1 years, 104.0 ," $65,997 "," 36,733.", 97 
179,Interlachen-Florahome,," $76,428 ",38.7 years, 367.5 ,40.0 years, 83.5 ," $40,074 "," 24,964.", 68 
180,Inverness Highlands South,," $98,011 ",42.1 years, 5.64 ,51.0 years, 81.0 ," $36,391 "," 6,542. "," 1,159 "
181,"Inverness, FL", 50 feet," $99,610 ",42.1 years, 7.29 ,55.8 years, 83.3 ," $24,926 "," 7,162 (95% urban, 5% rural). ", 983 
182,"Inwood, FL",," $83,337 ",42.1 years, 1.92 ,34.3 years, 85.9 ," $30,890 "," 6,403. "," 3,340 "
183,"Iona, FL", 8 feet," $246,523 ",42.1 years, 7.13 ,66.5 years, 94.4 ," $55,774 "," 15,369. "," 2,155 "
184,Islamorada, 5 feet," $623,890 ",42.1 years, 7.11 ,55.5 years, 109.4 ," $71,045 "," 6,428 (95% urban, 5% rural). ", 904 
185,Ives Estates, 9 feet," $146,214 ",42.1 years, 2.65 ,38.5 years, 107.2 ," $50,215 "," 19,525. "," 7,379 "
186,Jacksonville Beach, 12 feet," $322,315 ",42.1 years, 7.68 ,43.3 years, 91.8 ," $68,235 "," 22,665 (100% urban, 0% rural). "," 2,950 "
187,"Jacksonville, FL", 12 feet," $157,800 ",42.1 years, 757.7 ,35.7 years, 88.3 ," $51,298 "," 880,623"," 1,162 "
188,Jasmine Estates, 10 feet," $78,378 ",42.1 years, 3.57 ,43.5 years, 93.2 ," $34,716 "," 18,989. "," 5,314 "
189,Jensen Beach, 8 feet," $223,190 ",42.1 years, 7.25 ,53.6 years, 91.5 ," $49,509 "," 11,707. "," 1,616 "
190,Jupiter Farms,," $269,600
",42.1 years,,46.6 years, 102.3 ," $57,580"," 11,994.",
191,Jupiter, 8 feet," $369,959 ",42.1 years, 20.0 ,46.8 years, 103.9 ," $79,882 "," 60,681 (100% urban, 0% rural). "," 3,034 "
192,Kathleen, 142 feet," $118,510 ",42.1 years, 3.33 ,33.7 years, 85.8 ," $47,235 "," 6,332. "," 1,904 "
193,"Kendale Lakes-Lindgren Acres, FL",," $292,610 ",38.7 years, 145.7 ,33.7 years, 118.1 ," $62,416 "," 341,815."," 2,346 "
194,Kendale Lakes,," $232,215 ",42.1 years, 8.17 ,42.6 years, 110.1 ," $52,918 "," 56,148. "," 6,870 "
195,Kendall West,," $226,937 ",42.1 years, 3.39 ,42.0 years, 110.2 ," $47,608 "," 36,154. "," 10,664 "
